datestamp,type,type - dcmi recommendation,format,format - mediatype,format - subtype,subject,title,date,identifier,source,rights,record - header - setSpec,record id
2018-09-14T16:54:31Z,Source,Text,image/jpeg,image,jpeg,WorldViews,The Southern Continents,1967-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=MY_1967_Burrows_TheSouthernContinents_5__6,"-: ""The Southern Continents"", Kuala Lumpur: - 1967.",Open Access,WorldViews,MY_1967_Burrows_TheSouthernContinents_5__6_eng
,Text,,application/pdf,application,pdf,,,,,,,,
2018-09-04T11:20:29Z,Comment,Text,image/jpeg,image,jpeg,WorldViews,Peace Conference in Munster 1648,2017-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=K_2017_Herfordt_FriedenskonferenzMuenster,"-: Peace Conference in Munster 1648, -: - 2017.",Open Access,WorldViews,K_2017_Herfordt_FriedenskonferenzMuenster_ger
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-09-04T11:20:29Z,Comment,Text,image/jpeg,image,jpeg,WorldViews,Peace Conference in Munster 1648,2017-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=K_2017_Herfordt_FriedenskonferenzMuenster,"-: Peace Conference in Munster 1648, -: - 2017.",Open Access,WorldViews,K_2017_Herfordt_FriedenskonferenzMuenster_eng
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-08-14T15:16:15Z,Source,Text,image/jpeg,image,jpeg,WorldViews,The role of population movement in the process of integration in Indonesia,1994-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=ID_1994_Ratmaningsih_SejarahNasionalDanUmum_196-197,"-: ""The role of population movement in the process of integration in Indonesia"", Bandung: - 1994.",Open Access,WorldViews,ID_1994_Ratmaningsih_SejarahNasionalDanUmum_196-197_ger
,Text,,application/pdf,application,pdf,,,,,,,,
2018-08-14T15:16:15Z,Source,Text,image/jpeg,image,jpeg,WorldViews,The role of population movement in the process of integration in Indonesia,1994-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=ID_1994_Ratmaningsih_SejarahNasionalDanUmum_196-197,"-: ""The role of population movement in the process of integration in Indonesia"", Bandung: - 1994.",Open Access,WorldViews,ID_1994_Ratmaningsih_SejarahNasionalDanUmum_196-197_eng
,Text,,application/pdf,application,pdf,,,,,,,,
2018-08-14T15:16:15Z,Source,Text,image/jpeg,image,jpeg,WorldViews,The role of population movement in the process of integration in Indonesia,1994-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=ID_1994_Ratmaningsih_SejarahNasionalDanUmum_196-197,"-: ""The role of population movement in the process of integration in Indonesia"", Bandung: - 1994.",Open Access,WorldViews,ID_1994_Ratmaningsih_SejarahNasionalDanUmum_196-197_ind
,Text,,application/pdf,application,pdf,,,,,,,,
2018-09-14T16:30:29Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Gewalt als eine Herausforderung für die Demokratie,2009-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=SV_2009_anonym_EstudiosSocialesyCivica9_216_218,"-: ""Gewalt als eine Herausforderung für die Demokratie"", Departamento de San Salvador: - 2009.",Open Access,WorldViews,SV_2009_anonym_EstudiosSocialesyCivica9_216_218_ger
,Text,,application/pdf,application,pdf,,,,,,,,
2018-09-14T16:30:29Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Gewalt als eine Herausforderung für die Demokratie,2009-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=SV_2009_anonym_EstudiosSocialesyCivica9_216_218,"-: ""Gewalt als eine Herausforderung für die Demokratie"", Departamento de San Salvador: - 2009.",Open Access,WorldViews,SV_2009_anonym_EstudiosSocialesyCivica9_216_218_eng
,Text,,application/pdf,application,pdf,,,,,,,,
2018-09-14T16:30:29Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Gewalt als eine Herausforderung für die Demokratie,2009-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=SV_2009_anonym_EstudiosSocialesyCivica9_216_218,"-: ""Gewalt als eine Herausforderung für die Demokratie"", Departamento de San Salvador: - 2009.",Open Access,WorldViews,SV_2009_anonym_EstudiosSocialesyCivica9_216_218_spa
,Text,,application/pdf,application,pdf,,,,,,,,
2018-09-14T16:26:49Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Countries of the European Economic Community,1985-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=EC_1985_GarciaGonzalez_GeografiaHistoriaCivica_35__38,"-: ""Countries of the European Economic Community"", Quito: - 1985.",Open Access,WorldViews,EC_1985_GarciaGonzalez_GeografiaHistoriaCivica_35__38_ger
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-09-14T16:26:49Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Countries of the European Economic Community,1985-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=EC_1985_GarciaGonzalez_GeografiaHistoriaCivica_35__38,"-: ""Countries of the European Economic Community"", Quito: - 1985.",Open Access,WorldViews,EC_1985_GarciaGonzalez_GeografiaHistoriaCivica_35__38_eng
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-09-14T16:26:49Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Countries of the European Economic Community,1985-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=EC_1985_GarciaGonzalez_GeografiaHistoriaCivica_35__38,"-: ""Countries of the European Economic Community"", Quito: - 1985.",Open Access,WorldViews,EC_1985_GarciaGonzalez_GeografiaHistoriaCivica_35__38_spa
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-07-17T07:28:25Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Multiculturalism and alternatives,1980-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=CA_1980_WoodEtAl_ThePeopleWeAre_223_224,"-: Multiculturalism and alternatives, Toronto: - 1980.",Open Access,WorldViews,CA_1980_WoodEtAl_ThePeopleWeAre_223_224_ger
,Text,,application/pdf,application,pdf,,,,,,,,
2018-07-17T07:28:25Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Multiculturalism and alternatives,1980-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=CA_1980_WoodEtAl_ThePeopleWeAre_223_224,"-: Multiculturalism and alternatives, Toronto: - 1980.",Open Access,WorldViews,CA_1980_WoodEtAl_ThePeopleWeAre_223_224_eng
,Text,,application/pdf,application,pdf,,,,,,,,
2018-09-14T16:24:56Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Europe:  Population and Ethnic Composition,1985-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=EC_1985_GarciaGonzalez_GeografiaHistoriaCivica_33_34,"-: Europe: ""Population and Ethnic Composition"", Quito: - 1985.",Open Access,WorldViews,EC_1985_GarciaGonzalez_GeografiaHistoriaCivica_33_34_ger
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-09-14T16:24:56Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Europe:  Population and Ethnic Composition,1985-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=EC_1985_GarciaGonzalez_GeografiaHistoriaCivica_33_34,"-: Europe: ""Population and Ethnic Composition"", Quito: - 1985.",Open Access,WorldViews,EC_1985_GarciaGonzalez_GeografiaHistoriaCivica_33_34_eng
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-09-14T16:24:56Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Europe:  Population and Ethnic Composition,1985-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=EC_1985_GarciaGonzalez_GeografiaHistoriaCivica_33_34,"-: Europe: ""Population and Ethnic Composition"", Quito: - 1985.",Open Access,WorldViews,EC_1985_GarciaGonzalez_GeografiaHistoriaCivica_33_34_spa
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-09-14T15:51:30Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Intersection for global transportation routes,1972-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=BR_1972_Azevedo_GeografiaDoBrasil_16_18,"-: ""Intersection for global transportation routes"", São Paulo: - 1972.",Open Access,WorldViews,BR_1972_Azevedo_GeografiaDoBrasil_16_18_ger
,Text,,application/pdf,application,pdf,,,,,,,,
2018-09-14T15:51:30Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Intersection for global transportation routes,1972-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=BR_1972_Azevedo_GeografiaDoBrasil_16_18,"-: ""Intersection for global transportation routes"", São Paulo: - 1972.",Open Access,WorldViews,BR_1972_Azevedo_GeografiaDoBrasil_16_18_por
,Text,,application/pdf,application,pdf,,,,,,,,
2018-09-14T15:51:30Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Intersection for global transportation routes,1972-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=BR_1972_Azevedo_GeografiaDoBrasil_16_18,"-: ""Intersection for global transportation routes"", São Paulo: - 1972.",Open Access,WorldViews,BR_1972_Azevedo_GeografiaDoBrasil_16_18_eng
,Text,,application/pdf,application,pdf,,,,,,,,
2018-09-14T15:02:23Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Aboriginal Australians,2002-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=AU_2002_Mason_ExperienceOfNationhood_40_42,"-: ""Aboriginal Australians"", Roseville: - 2002.",Open Access,WorldViews,AU_2002_Mason_ExperienceOfNationhood_40_42_ger
,Text,,application/pdf,application,pdf,,,,,,,,
2018-09-14T15:02:23Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Aboriginal Australians,2002-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=AU_2002_Mason_ExperienceOfNationhood_40_42,"-: ""Aboriginal Australians"", Roseville: - 2002.",Open Access,WorldViews,AU_2002_Mason_ExperienceOfNationhood_40_42_eng
,Text,,application/pdf,application,pdf,,,,,,,,
2018-09-14T16:56:13Z,Source,Text,image/jpeg,image,jpeg,WorldViews,People of Malaysia,1978-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=MY_1978_TateEtAl_ModernHistoryForSecondarySchools_20_22,"-: ""People of Malaysia"", Kuala Lumpur: - 1978.",Open Access,WorldViews,MY_1978_TateEtAl_ModernHistoryForSecondarySchools_20_22_ger
,Text,,application/pdf,application,pdf,,,,,,,,
2018-09-14T16:56:13Z,Source,Text,image/jpeg,image,jpeg,WorldViews,People of Malaysia,1978-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=MY_1978_TateEtAl_ModernHistoryForSecondarySchools_20_22,"-: ""People of Malaysia"", Kuala Lumpur: - 1978.",Open Access,WorldViews,MY_1978_TateEtAl_ModernHistoryForSecondarySchools_20_22_eng
,Text,,application/pdf,application,pdf,,,,,,,,
2018-09-05T08:36:25Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Ireland and the Wider World,2010-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=IE_2010_BarrettEtAl_Impact_155-156__160,"-: ""Ireland and the Wider World"", Dublin: - 2010 [1998].",Open Access,WorldViews,IE_2010_BarrettEtAl_Impact_155-156__160_ger
,Text,,application/pdf,application,pdf,EurViews,,1998-01-01T00:00:00Z,,,,EurViews,
2018-09-05T08:36:25Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Ireland and the Wider World,2010-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=IE_2010_BarrettEtAl_Impact_155-156__160,"-: ""Ireland and the Wider World"", Dublin: - 2010 [1998].",Open Access,WorldViews,IE_2010_BarrettEtAl_Impact_155-156__160_eng
,Text,,application/pdf,application,pdf,EurViews,,1998-01-01T00:00:00Z,,,,EurViews,
2018-09-14T14:31:22Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Der Sklavenhandel,1989-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=CM_1989_FomenkyEtAl_HistoireDuCameroun_28_31,"-: ""Der Sklavenhandel"", Yaoundé: - 1989.",Open Access,WorldViews,CM_1989_FomenkyEtAl_HistoireDuCameroun_28_31_ger
,Text,,application/pdf,application,pdf,,,,,,,,
2018-09-14T14:31:22Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Der Sklavenhandel,1989-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=CM_1989_FomenkyEtAl_HistoireDuCameroun_28_31,"-: ""Der Sklavenhandel"", Yaoundé: - 1989.",Open Access,WorldViews,CM_1989_FomenkyEtAl_HistoireDuCameroun_28_31_eng
,Text,,application/pdf,application,pdf,,,,,,,,
2018-09-14T14:31:22Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Der Sklavenhandel,1989-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=CM_1989_FomenkyEtAl_HistoireDuCameroun_28_31,"-: ""Der Sklavenhandel"", Yaoundé: - 1989.",Open Access,WorldViews,CM_1989_FomenkyEtAl_HistoireDuCameroun_28_31_fre
,Text,,application/pdf,application,pdf,,,,,,,,
2018-09-14T14:38:32Z,Source,Text,image/jpeg,image,jpeg,WorldViews,The Great War in Cameroon (1914-1916),1969-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=CM_1969_MvengEtAl_ManuelDhistoireDuCameroun_187-188,"-: ""The Great War in Cameroon (1914-1916)"", Yaoundé: - 1969.",Open Access,WorldViews,CM_1969_MvengEtAl_ManuelDhistoireDuCameroun_187-188_ger
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-09-14T14:38:32Z,Source,Text,image/jpeg,image,jpeg,WorldViews,The Great War in Cameroon (1914-1916),1969-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=CM_1969_MvengEtAl_ManuelDhistoireDuCameroun_187-188,"-: ""The Great War in Cameroon (1914-1916)"", Yaoundé: - 1969.",Open Access,WorldViews,CM_1969_MvengEtAl_ManuelDhistoireDuCameroun_187-188_eng
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-09-14T14:38:32Z,Source,Text,image/jpeg,image,jpeg,WorldViews,The Great War in Cameroon (1914-1916),1969-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=CM_1969_MvengEtAl_ManuelDhistoireDuCameroun_187-188,"-: ""The Great War in Cameroon (1914-1916)"", Yaoundé: - 1969.",Open Access,WorldViews,CM_1969_MvengEtAl_ManuelDhistoireDuCameroun_187-188_fre
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-09-14T15:06:37Z,Source,Text,image/jpeg,image,jpeg,WorldViews,White Australia,2002-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=AU_2002_Mason_ExperienceOfNationhood_35-36,"-: ""White Australia"", Roseville: - 2002.",Open Access,WorldViews,AU_2002_Mason_ExperienceOfNationhood_35-36_ger
,Text,,application/pdf,application,pdf,,,,,,,,
2018-09-14T15:06:37Z,Source,Text,image/jpeg,image,jpeg,WorldViews,White Australia,2002-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=AU_2002_Mason_ExperienceOfNationhood_35-36,"-: ""White Australia"", Roseville: - 2002.",Open Access,WorldViews,AU_2002_Mason_ExperienceOfNationhood_35-36_eng
,Text,,application/pdf,application,pdf,,,,,,,,
2018-08-14T14:55:26Z,Source,Text,image/jpeg,image,jpeg,WorldViews,What is a race?,1961-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=US_1961_Barr_TheHowAndWhyWonderBookOfPrimitiveMan_28-32,"-: ""What is a race?"", New York: - 1961.",Open Access,WorldViews,US_1961_Barr_TheHowAndWhyWonderBookOfPrimitiveMan_28-32_ger
,Text,,application/pdf,application,pdf,,,,,,,,
2018-08-14T14:55:26Z,Source,Text,image/jpeg,image,jpeg,WorldViews,What is a race?,1961-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=US_1961_Barr_TheHowAndWhyWonderBookOfPrimitiveMan_28-32,"-: ""What is a race?"", New York: - 1961.",Open Access,WorldViews,US_1961_Barr_TheHowAndWhyWonderBookOfPrimitiveMan_28-32_eng
,Text,,application/pdf,application,pdf,,,,,,,,
2018-09-05T09:13:08Z,Source,Text,image/jpeg,image,jpeg,WorldViews,International Groupings,2011-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=IE_2011_HarrisonEtAl_MakeADifference_256__267,"-: ""International Groupings"", Dublin: - 2011.",Open Access,WorldViews,IE_2011_HarrisonEtAl_MakeADifference_256__267_ger
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-09-05T09:13:08Z,Source,Text,image/jpeg,image,jpeg,WorldViews,International Groupings,2011-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=IE_2011_HarrisonEtAl_MakeADifference_256__267,"-: ""International Groupings"", Dublin: - 2011.",Open Access,WorldViews,IE_2011_HarrisonEtAl_MakeADifference_256__267_eng
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-09-14T14:59:01Z,Source,Text,image/jpeg,image,jpeg,WorldViews,End of the colony of Sancti Spiritus,1884-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=AR_1884_Cambon_BrevesLeccionesDeHistoriaArgentina_7_8,"-: ""End of the colony of Sancti Spiritus"", Buenos Aires: - 1884.",Open Access,WorldViews,AR_1884_Cambon_BrevesLeccionesDeHistoriaArgentina_7_8_ger
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-09-14T14:59:01Z,Source,Text,image/jpeg,image,jpeg,WorldViews,End of the colony of Sancti Spiritus,1884-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=AR_1884_Cambon_BrevesLeccionesDeHistoriaArgentina_7_8,"-: ""End of the colony of Sancti Spiritus"", Buenos Aires: - 1884.",Open Access,WorldViews,AR_1884_Cambon_BrevesLeccionesDeHistoriaArgentina_7_8_eng
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-09-14T14:59:01Z,Source,Text,image/jpeg,image,jpeg,WorldViews,End of the colony of Sancti Spiritus,1884-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=AR_1884_Cambon_BrevesLeccionesDeHistoriaArgentina_7_8,"-: ""End of the colony of Sancti Spiritus"", Buenos Aires: - 1884.",Open Access,WorldViews,AR_1884_Cambon_BrevesLeccionesDeHistoriaArgentina_7_8_spa
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-08-14T15:26:04Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Enforced planting in Java and the struggle to attain a monopoly on trade in Sumatra,2013-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=ID_2013_Hapsari_SejarahIndonesia_62,"-: ""Enforced planting in Java and the struggle to attain a monopoly on trade in Sumatra"", Jakarta: - 2013.",Open Access,WorldViews,ID_2013_Hapsari_SejarahIndonesia_62_ger
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-08-14T15:26:04Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Enforced planting in Java and the struggle to attain a monopoly on trade in Sumatra,2013-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=ID_2013_Hapsari_SejarahIndonesia_62,"-: ""Enforced planting in Java and the struggle to attain a monopoly on trade in Sumatra"", Jakarta: - 2013.",Open Access,WorldViews,ID_2013_Hapsari_SejarahIndonesia_62_eng
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-08-14T15:26:04Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Enforced planting in Java and the struggle to attain a monopoly on trade in Sumatra,2013-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=ID_2013_Hapsari_SejarahIndonesia_62,"-: ""Enforced planting in Java and the struggle to attain a monopoly on trade in Sumatra"", Jakarta: - 2013.",Open Access,WorldViews,ID_2013_Hapsari_SejarahIndonesia_62_ind
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-09-14T15:47:45Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Auf der Kolonie,1914-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=BR_1914_Rotermund_LesebuchFuerSchuleUndHaus_120-121,"-: ""Auf der Kolonie"", Cruz Alta: - 1914.",Open Access,WorldViews,BR_1914_Rotermund_LesebuchFuerSchuleUndHaus_120-121_ger
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-09-14T15:47:45Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Auf der Kolonie,1914-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=BR_1914_Rotermund_LesebuchFuerSchuleUndHaus_120-121,"-: ""Auf der Kolonie"", Cruz Alta: - 1914.",Open Access,WorldViews,BR_1914_Rotermund_LesebuchFuerSchuleUndHaus_120-121_eng
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-09-14T16:11:44Z,Source,Text,image/jpeg,image,jpeg,WorldViews,The White Race,1914-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=CR_1914_Ducourdray_CompendioDeHistoriaGeneral_13-14,"-: ""The White Race"", Paris: - 1914.",Open Access,WorldViews,CR_1914_Ducourdray_CompendioDeHistoriaGeneral_13-14_ger
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-09-14T16:11:44Z,Source,Text,image/jpeg,image,jpeg,WorldViews,The White Race,1914-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=CR_1914_Ducourdray_CompendioDeHistoriaGeneral_13-14,"-: ""The White Race"", Paris: - 1914.",Open Access,WorldViews,CR_1914_Ducourdray_CompendioDeHistoriaGeneral_13-14_eng
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-09-14T16:11:44Z,Source,Text,image/jpeg,image,jpeg,WorldViews,The White Race,1914-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=CR_1914_Ducourdray_CompendioDeHistoriaGeneral_13-14,"-: ""The White Race"", Paris: - 1914.",Open Access,WorldViews,CR_1914_Ducourdray_CompendioDeHistoriaGeneral_13-14_spa
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-09-14T14:50:13Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Spanish colonial domination of Argentina,1897-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=AR_1897_Aubin_LecturasSobreHistoriaNacional_12-14,"-: ""Spanish colonial domination of Argentina"", Buenos Aires F.D.: - 1897.",Open Access,WorldViews,AR_1897_Aubin_LecturasSobreHistoriaNacional_12-14_ger
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-09-14T14:50:13Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Spanish colonial domination of Argentina,1897-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=AR_1897_Aubin_LecturasSobreHistoriaNacional_12-14,"-: ""Spanish colonial domination of Argentina"", Buenos Aires F.D.: - 1897.",Open Access,WorldViews,AR_1897_Aubin_LecturasSobreHistoriaNacional_12-14_eng
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
