record - header - datestamp,record - metadata - oai_dc:dc - dc:identifier,record - metadata - oai_dc:dc - dc:title - xml:lang,record - metadata - oai_dc:dc - dc:title,record - metadata - oai_dc:dc - dc:subject,record - metadata - oai_dc:dc - dc:language,record - header - identifier
2021-01-12T16:46:46Z,clarin-ids:AD--4.AD--_E_00003.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00003.cmdi
,http://hdl.handle.net/10932/00-03BC-7338-5310-6A01-9,,,,,
2021-01-12T16:46:46Z,clarin-ids:AD--4.AD--_E_00004.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00004.cmdi
,http://hdl.handle.net/10932/00-03BC-7338-78E0-6B01-1,,,,,
2021-01-12T16:46:46Z,clarin-ids:AD--4.AD--_E_00005.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00005.cmdi
,http://hdl.handle.net/10932/00-03BC-7338-8A10-6C01-3,,,,,
2021-01-12T16:46:46Z,clarin-ids:AD--4.AD--_E_00006.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00006.cmdi
,http://hdl.handle.net/10932/00-03BC-7338-AAE0-6D01-6,,,,,
2021-01-12T16:46:46Z,clarin-ids:AD--4.AD--_E_00007.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00007.cmdi
,http://hdl.handle.net/10932/00-03BC-7339-87D0-6E01-D,,,,,
2021-01-12T16:46:46Z,clarin-ids:AD--4.AD--_E_00008.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00008.cmdi
,http://hdl.handle.net/10932/00-03BC-7339-A960-6F01-D,,,,,
2021-01-12T16:46:46Z,clarin-ids:AD--4.AD--_E_00009.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00009.cmdi
,http://hdl.handle.net/10932/00-03BC-7339-CD30-7001-0,,,,,
2021-01-12T16:46:46Z,clarin-ids:AD--4.AD--_E_00010.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00010.cmdi
,http://hdl.handle.net/10932/00-03BC-7339-F850-7101-6,,,,,
2021-01-12T16:46:46Z,clarin-ids:AD--4.AD--_E_00011.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00011.cmdi
,http://hdl.handle.net/10932/00-03BC-733A-0920-7201-1,,,,,
2021-01-12T16:46:46Z,clarin-ids:AD--4.AD--_E_00012.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00012.cmdi
,http://hdl.handle.net/10932/00-03BC-733A-D640-7301-5,,,,,
2021-01-12T16:46:46Z,clarin-ids:AD--4.AD--_E_00013.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00013.cmdi
,http://hdl.handle.net/10932/00-03BC-733B-01A0-7401-6,,,,,
2021-01-12T16:46:46Z,clarin-ids:AD--4.AD--_E_00014.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00014.cmdi
,http://hdl.handle.net/10932/00-03BC-733B-22E0-7501-2,,,,,
2021-01-12T16:46:46Z,clarin-ids:AD--4.AD--_E_00015.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00015.cmdi
,http://hdl.handle.net/10932/00-03BC-733B-4350-7601-3,,,,,
2021-01-12T16:46:46Z,clarin-ids:AD--4.AD--_E_00016.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00016.cmdi
,http://hdl.handle.net/10932/00-03BC-733B-5420-7701-6,,,,,
2021-01-12T16:46:46Z,clarin-ids:AD--4.AD--_E_00017.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00017.cmdi
,http://hdl.handle.net/10932/00-03BC-733B-64E0-7801-F,,,,,
2021-01-12T16:46:46Z,clarin-ids:AD--4.AD--_E_00018.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00018.cmdi
,http://hdl.handle.net/10932/00-03BC-733B-7550-7901-4,,,,,
2021-01-12T16:46:46Z,clarin-ids:AD--4.AD--_E_00019.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00019.cmdi
,http://hdl.handle.net/10932/00-03BC-733B-8660-7A01-4,,,,,
2021-01-12T16:46:46Z,clarin-ids:AD--4.AD--_E_00043.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00043.cmdi
,http://hdl.handle.net/10932/00-03BC-733F-0FC0-8F01-E,,,,,
2021-01-12T16:46:46Z,clarin-ids:AD--4.AD--_E_00044.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00044.cmdi
,http://hdl.handle.net/10932/00-03BC-733F-20E0-9001-F,,,,,
2021-01-12T16:46:46Z,clarin-ids:AD--4.AD--_E_00045.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00045.cmdi
,http://hdl.handle.net/10932/00-03BC-733F-31E0-9101-2,,,,,
2021-01-12T16:46:46Z,clarin-ids:AD--4.AD--_E_00046.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00046.cmdi
,http://hdl.handle.net/10932/00-03BC-733F-4240-9201-C,,,,,
2021-01-12T16:46:46Z,clarin-ids:AD--4.AD--_E_00047.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00047.cmdi
,http://hdl.handle.net/10932/00-03BC-733F-52F0-9301-4,,,,,
2021-01-12T16:46:46Z,clarin-ids:AD--4.AD--_E_00048.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00048.cmdi
,http://hdl.handle.net/10932/00-03BC-733F-6380-9401-1,,,,,
2021-01-12T16:46:46Z,clarin-ids:AD--4.AD--_E_00049.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00049.cmdi
,http://hdl.handle.net/10932/00-03BC-733F-7400-9501-7,,,,,
2021-01-12T16:46:46Z,clarin-ids:AD--4.AD--_E_00051.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00051.cmdi
,http://hdl.handle.net/10932/00-03BC-733F-85D0-9601-2,,,,,
2021-01-12T16:46:46Z,clarin-ids:AD--4.AD--_E_00052.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00052.cmdi
,http://hdl.handle.net/10932/00-03BC-733F-9750-9701-B,,,,,
2021-01-12T16:46:46Z,clarin-ids:AD--4.AD--_E_00053.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00053.cmdi
,http://hdl.handle.net/10932/00-03BC-733F-A820-9801-A,,,,,
2021-01-12T16:46:47Z,clarin-ids:AD--4.AD--_E_00064.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00064.cmdi
,http://hdl.handle.net/10932/00-03BC-7341-25D0-A301-D,,,,,
2021-01-12T16:46:47Z,clarin-ids:AD--4.AD--_E_00065.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00065.cmdi
,http://hdl.handle.net/10932/00-03BC-7341-37A0-A401-8,,,,,
2021-01-12T16:46:47Z,clarin-ids:AD--4.AD--_E_00066.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00066.cmdi
,http://hdl.handle.net/10932/00-03BC-7341-4810-A501-A,,,,,
2021-01-12T16:46:47Z,clarin-ids:AD--4.AD--_E_00067.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00067.cmdi
,http://hdl.handle.net/10932/00-03BC-7341-5970-A601-3,,,,,
2021-01-12T16:46:47Z,clarin-ids:AD--4.AD--_E_00068.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00068.cmdi
,http://hdl.handle.net/10932/00-03BC-7341-7BF0-A701-7,,,,,
2021-01-12T16:46:47Z,clarin-ids:AD--4.AD--_E_00070.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00070.cmdi
,http://hdl.handle.net/10932/00-03BC-7341-A790-A801-7,,,,,
2021-01-12T16:46:47Z,clarin-ids:AD--4.AD--_E_00071.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00071.cmdi
,http://hdl.handle.net/10932/00-03BC-7341-B8D0-A901-A,,,,,
2021-01-12T16:46:47Z,clarin-ids:AD--4.AD--_E_00072.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00072.cmdi
,http://hdl.handle.net/10932/00-03BC-7341-CA00-AA01-0,,,,,
2021-01-12T16:46:47Z,clarin-ids:AD--4.AD--_E_00073.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00073.cmdi
,http://hdl.handle.net/10932/00-03BC-7341-DAD0-AB01-C,,,,,
2021-01-12T16:46:47Z,clarin-ids:AD--4.AD--_E_00074.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00074.cmdi
,http://hdl.handle.net/10932/00-03BC-7341-EBE0-AC01-E,,,,,
2021-01-12T16:46:47Z,clarin-ids:AD--4.AD--_E_00075.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00075.cmdi
,http://hdl.handle.net/10932/00-03BC-7341-FD00-AD01-3,,,,,
2021-01-12T16:46:47Z,clarin-ids:AD--4.AD--_E_00076.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00076.cmdi
,http://hdl.handle.net/10932/00-03BC-7342-0E30-AE01-C,,,,,
2021-01-12T16:46:47Z,clarin-ids:AD--4.AD--_E_00077.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00077.cmdi
,http://hdl.handle.net/10932/00-03BC-7342-1F80-AF01-B,,,,,
2021-01-12T16:46:47Z,clarin-ids:AD--4.AD--_E_00078.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00078.cmdi
,http://hdl.handle.net/10932/00-03BC-7342-3010-B001-3,,,,,
2021-01-12T16:46:47Z,clarin-ids:AD--4.AD--_E_00079.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00079.cmdi
,http://hdl.handle.net/10932/00-03BC-7342-40F0-B101-2,,,,,
2021-01-12T16:46:47Z,clarin-ids:AD--4.AD--_E_00080.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00080.cmdi
,http://hdl.handle.net/10932/00-03BC-7342-5220-B201-5,,,,,
2021-01-12T16:46:47Z,clarin-ids:AD--4.AD--_E_00081.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00081.cmdi
,http://hdl.handle.net/10932/00-03BC-7342-62E0-B301-E,,,,,
2021-01-12T16:46:47Z,clarin-ids:AD--4.AD--_E_00082.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00082.cmdi
,http://hdl.handle.net/10932/00-03BC-7342-7390-B401-A,,,,,
2021-01-12T16:46:47Z,clarin-ids:AD--4.AD--_E_00083.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00083.cmdi
,http://hdl.handle.net/10932/00-03BC-7342-84A0-B501-9,,,,,
2021-01-12T16:46:47Z,clarin-ids:AD--4.AD--_E_00084.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00084.cmdi
,http://hdl.handle.net/10932/00-03BC-7342-A820-B601-E,,,,,
2021-01-12T16:46:47Z,clarin-ids:AD--4.AD--_E_00085.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00085.cmdi
,http://hdl.handle.net/10932/00-03BC-7343-C290-B701-4,,,,,
2021-01-12T16:46:47Z,clarin-ids:AD--4.AD--_E_00086.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00086.cmdi
,http://hdl.handle.net/10932/00-03BC-7343-D2F0-B801-A,,,,,
2021-01-12T16:46:47Z,clarin-ids:AD--4.AD--_E_00087.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00087.cmdi
,http://hdl.handle.net/10932/00-03BC-7343-E3D0-B901-A,,,,,
2021-01-12T16:46:47Z,clarin-ids:AD--4.AD--_E_00088.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00088.cmdi
,http://hdl.handle.net/10932/00-03BC-7343-F480-BA01-6,,,,,
2021-01-12T16:46:47Z,clarin-ids:AD--4.AD--_E_00089.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00089.cmdi
,http://hdl.handle.net/10932/00-03BC-7344-0560-BB01-0,,,,,
2021-01-12T16:46:47Z,clarin-ids:AD--4.AD--_E_00090.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00090.cmdi
,http://hdl.handle.net/10932/00-03BC-7344-16A0-BC01-2,,,,,
2021-01-12T16:46:47Z,clarin-ids:AD--4.AD--_E_00091.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00091.cmdi
,http://hdl.handle.net/10932/00-03BC-7344-27B0-BD01-9,,,,,
2021-01-12T16:46:47Z,clarin-ids:AD--4.AD--_E_00092.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00092.cmdi
,http://hdl.handle.net/10932/00-03BC-7344-3830-BE01-9,,,,,
2021-01-12T16:46:47Z,clarin-ids:AD--4.AD--_E_00093.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00093.cmdi
,http://hdl.handle.net/10932/00-03BC-7344-4930-BF01-D,,,,,
2021-01-12T16:46:47Z,clarin-ids:AD--4.AD--_E_00094.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00094.cmdi
,http://hdl.handle.net/10932/00-03BC-7344-59E0-C001-6,,,,,
2021-01-12T16:46:47Z,clarin-ids:AD--4.AD--_E_00054.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00054.cmdi
,http://hdl.handle.net/10932/00-03BC-733F-B930-9901-4,,,,,
2021-01-12T16:46:47Z,clarin-ids:AD--4.AD--_E_00055.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00055.cmdi
,http://hdl.handle.net/10932/00-03BC-733F-DA70-9A01-A,,,,,
2021-01-12T16:46:47Z,clarin-ids:AD--4.AD--_E_00056.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00056.cmdi
,http://hdl.handle.net/10932/00-03BC-733F-FB20-9B01-5,,,,,
2021-01-12T16:46:47Z,clarin-ids:AD--4.AD--_E_00057.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00057.cmdi
,http://hdl.handle.net/10932/00-03BC-7340-1DE0-9C01-3,,,,,
2021-01-12T16:46:47Z,clarin-ids:AD--4.AD--_E_00058.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00058.cmdi
,http://hdl.handle.net/10932/00-03BC-7340-4940-9D01-F,,,,,
2021-01-12T16:46:47Z,clarin-ids:AD--4.AD--_E_00059.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00059.cmdi
,http://hdl.handle.net/10932/00-03BC-7340-6A10-9E01-C,,,,,
2021-01-12T16:46:47Z,clarin-ids:AD--4.AD--_E_00060.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00060.cmdi
,http://hdl.handle.net/10932/00-03BC-7340-9560-9F01-2,,,,,
2021-01-12T16:46:47Z,clarin-ids:AD--4.AD--_E_00061.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00061.cmdi
,http://hdl.handle.net/10932/00-03BC-7340-B700-A001-7,,,,,
2021-01-12T16:46:47Z,clarin-ids:AD--4.AD--_E_00062.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00062.cmdi
,http://hdl.handle.net/10932/00-03BC-7340-D950-A101-6,,,,,
2021-01-12T16:46:47Z,clarin-ids:AD--4.AD--_E_00063.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00063.cmdi
,http://hdl.handle.net/10932/00-03BC-7340-FAD0-A201-0,,,,,
2021-01-12T16:46:47Z,clarin-ids:AD--4.AD--_E_00095.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00095.cmdi
,http://hdl.handle.net/10932/00-03BC-7344-6A50-C101-0,,,,,
2021-01-12T16:46:47Z,clarin-ids:AD--4.AD--_E_00096.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00096.cmdi
,http://hdl.handle.net/10932/00-03BC-7344-7B50-C201-6,,,,,
2021-01-12T16:46:47Z,clarin-ids:AD--4.AD--_E_00097.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00097.cmdi
,http://hdl.handle.net/10932/00-03BC-7344-8C10-C301-5,,,,,
2021-01-12T16:46:47Z,clarin-ids:AD--4.AD--_E_00098.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00098.cmdi
,http://hdl.handle.net/10932/00-03BC-7344-9CD0-C401-E,,,,,
2021-01-12T16:46:47Z,clarin-ids:AD--4.AD--_E_00099.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00099.cmdi
,http://hdl.handle.net/10932/00-03BC-7344-ADF0-C501-1,,,,,
2021-01-12T16:46:47Z,clarin-ids:AD--4.AD--_E_00100.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00100.cmdi
,http://hdl.handle.net/10932/00-03BC-7344-D940-C601-F,,,,,
2021-01-12T16:46:47Z,clarin-ids:AD--4.AD--_E_00101.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00101.cmdi
,http://hdl.handle.net/10932/00-03BC-7344-FBA0-C701-0,,,,,
2021-01-12T16:46:47Z,clarin-ids:AD--4.AD--_E_00103.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00103.cmdi
,http://hdl.handle.net/10932/00-03BC-7345-4970-C801-B,,,,,
