datestamp,subject,relation,identifier,rights,language,contributor,type,type - dcmi recommendation,description,source,title,creator,date,format,format - mediatype,format - subtype,publisher,coverage,record id
,,,,,,,,,,DBNL: http://www.dbnl.org/,,,,,,,,,
,,,,,,,,,,Dante on-line: http://www.danteonline.it/italiano/opere_indice.htm,,,,,,,,,
,,,,,,,,,,Esoteric archives: http://www.esotericarchives.com/esoteric.htm,,,,,,,,,
,,,,,,,,,,Gitenberg: https://www.gitenberg.org/,,,,,,,,,
,,,,,,,,,,Google Books: https://books.google.es/,,,,,,,,,
,,,,,,,,,,Iesapos: https://iessapostol.educarex.es/latin/minerva/,,,,,,,,,
,,,,,,,,,,Intratext: http://www.intratext.com/LATINA/,,,,,,,,,
,,,,,,,,,,MDZ: https://www.digitale-sammlungen.de/,,,,,,,,,
,,,,,,,,,,Narpan: http://www.narpan.net/,,,,,,,,,
,,,,,,,,,,Perseus: http://perseus.uchicago.edu/latin.html,,,,,,,,,
,,,,,,,,,,The Latin Library: http://www.thelatinlibrary.com/,,,,,,,,,
,,,,,,,,,,UB: http://orbita.bib.ub.edu/llull/,,,,,,,,,
,,,,,,,,,,Vaticanus: http://www.vatican.va/holy_father/index_sp.htm,,,,,,,,,
,,,,,,,,,,Vicifons: https://la.wikisource.org/wiki/Pagina_prima,,,,,,,,,
2020-10-07T13:30:10Z,late modern english,"Diller, H., De Smet, H., Tyrkkö, J. (2011). A European database of descriptors of English electronic texts. The European English Messenger 19, 21-35.",clarind-uds:clmet-31,CC BY NC SA,eng,Hendrik De Smet,collection,collection,"CLMET3.1 is a principled collection of public domain texts drawn from various online archiving projects. In total, the corpus contains some 34 million words of running text. It incorporates CLMET, CLMETEV, and CLMET3.0, and has been compiled following roughly the same principles, that is: The corpus covers the period 1710-1920, divided into three 70-year sub-periods. The texts making up the corpus have all been written by British and Irish authors who are native speakers of English. The corpus never contains more than three texts by the same author. The texts within each sub-period have been written by authors born within a correspondingly restricted sub-period. However, compared to the earlier versions, it comes with a number of important improvements (in addition to being substantially bigger): CLMET3.1 comes with an explicit genre classification. It is approximately genre-balanced. It is part-of-speech tagged. The corpus files have standardized text headers containing descriptive meta-data. For each text, explicit information is provided on text provenance. The corpus architecture allows subsequent expansions. The corpus is CWB compatible.",See corpus files,"The Corpus of Late Modern English Texts, version 3.1",KU Leuven,2018-01-01T00:00:00Z,application/zip,application,zip,,Great Britain,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:clmet-31
,corpus linguistics,,hdl:21.11119/0000-0002-43F3-0,CC BY NC SA,,Susanne Flach,written corpus,text,,,,,,,,,,Ireland,
,language change,,,,,Hans-Jürgen Diller,diachronic corpus,text,,,,,,,,,,1710–1920,
,written language,,,,,Jukka Tyrkkö,,,,,,,,,,,,,
,genre classification,,,,,,,,,,,,,,,,,,
2020-10-07T13:30:10Z,corpus linguistics,"Hansen-Schirra, Silvia, Neumann, Stella and Steiner, Erich. 2012. Cross-linguistic Corpora for the Study of Translations. Insights from the language pair English -- German. Series Text, Translation, Computational Processing. Berlin, New York: Mouton de Gruyter",clarind-uds:croco,Copyrighted,deu,Oliver Čulo,collection,collection,"The CroCo corpus is a bidirectional corpus of German (GO) and English (EO) texts from 8 registers (popular-scientific texts, tourism leaflets, prepared speeches, political essays on economics, fictional texts, corporate communication, instruction manuals, websites) with the respective English (ETrans) and German (GTrans) translation. Thus we have: multilingual comparable subcorpora (EO and GO, ETrans and GTrans), monolingual comparable subcorpora (EO and ETrans, GO and GTrans) and parallel subcorpora (EO and GTrans, GO and ETrans). The corpus is annotated with lemma, POS, morphological information, phrasal chunks and grammatical functions. The parallel corpora are aligned on different levels: word, chunk, clause and sentence.",,CroCo,Universität des Saarlandes Fachrichtung 4.6 Englische Sprach- und Übersetzungswissenschaft,2006-01-01T00:00:00Z,text/xml,text,xml,Universität des Saarlandes,Germany,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:croco
,linguistics,CroCo-Meta is an user-friendly annotation tool to edit and storage meta information for a file header. http://fedora.clarin-d.uni-saarland.de/croco-gecco/croco/CroCoMeta_en.html,hdl:11858/00-246C-0000-0005-BD0E-F,,eng,Silvia Hansen-Schirra,,,"Das CroCo-Korpus ist ein bidirektionales Korpus bestehend aus deutschen (GO) und englischen (EO) Texten aus 8 Registern (populärwissenschaftliche Texte, Tourismus-Flyer, Reden, politische Essays über Wirtschaft, fiktionale Texte, Firmenkommunikation, Handbücher, Webseiten) mit den jeweiligen Englischen (ETrans) und Deutschen (GTrans) Übersetzungen. Demnach gibt es multilinguale vergleichbare Subkorpora (EO und GO, ETrans und GTrans), monolinguale vergleichbare Subkorpora (EO und ETrans, GO und GTrans) und parallele Subkorpora (EO und GTrans, GO und ETrans). Das Korpus ist mit Lemma, POS, morphologischer Information, phrasalen Chunks und grammatischen Funktionen annotiert. Die parallelen Subkorpora sind auf verschiedenen Ebenen alligniert: Wort, Chunk, Clause, Satz.",,,,,,,,,,
,translation,"Deliverable No. 1 ""Corpus Design"": http://hdl.handle.net/21.11119/0000-0000-8138-F",,,,Kerstin Kunz,,,,,,,,,,,,,
,explicitation,"Deliverable No. 2 ""Encoding of Metainformation"": http://hdl.handle.net/21.11119/0000-0000-8148-D",,,,Stella Neumann,,,,,,,,,,,,,
,,"Deliverable No. 3 ""Multidimensional Corpus Alignment"": http://hdl.handle.net/21.11119/0000-0000-814E-7",,,,Prof. Erich Steiner,,,,,,,,,,,,,
,,"Deliverable No. 4 ""Categories for the Annotation"": http://hdl.handle.net/21.11119/0000-0000-8159-A",,,,Mihaela Vela,,,,,,,,,,,,,
,,"Deliverable No. 5 ""Types of contrasts, linguistic levels, their relationship to explicitation and explicitness, and possible explanations"": http://hdl.handle.net/21.11119/0000-0000-815F-4",,,,,,,,,,,,,,,,,
,,Publications: http://fedora.clarin-d.uni-saarland.de/croco-gecco/croco/publication_en.html,,,,,,,,,,,,,,,,,
2023-08-29T10:26:44Z,corpus linguistics,Publications: http://www.linglit.tu-darmstadt.de/index.php?id=lingpro_pubs,clarind-uds:dascitex,Copyrighted,eng,Prof. Elke Teich,collection,collection,Synchronic corpus of scientific texts from 9 different disciplines.,,DaSciTex,"Institut für Sprach- und Literaturwissenschaft, TU Darmstadt",2006-10–2009-09,text/xml,text,xml,Universität des Saarlandes,Germany,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:dascitex
,linguistics,"RegiCo, the follow up: https://www.uni-saarland.de/lehrstuhl/teich/projekte/abgeschlossene-projekte/register-im-kontakt.html",hdl:11858/00-246C-0000-0005-BD0F-D,,,,corpus,text,"The Darmstadt Corpus of Scientific Texts (DaSciTex) contains full English scientific journal articles compiled from 23 sources covering nine scientific domains. The corpus has a three-way partition: a center discipline (computer science) four 'pure' contact disciplines (linguistics, biology, mechanical engineering, electrical engineering) and four corresponding 'mixed' disciplines (computational linguistics, bio-informatics, computer-aided design, micro-electronics). The corpus comes in two versions a small manually checked corpus (approx. one million words) a large corpus (17 million words.)",,,LingPro DFG-Projekt,,,,,,2003–2007,
,register,DaSciTex Tools and Deliverables: http://www.linglit.tu-darmstadt.de/index.php?id=lingpro_deliverable,,,,,,,"Das Darmstadt Corpus of Scientific Texts (DaSciTex) besteht aus Vollversionen Englischer wissenschaftlicher Zeitschriftenartikel aus 23 Quellen und umfaßt 9 verschiedene wissenschaftliche Domänen. Der Aufbau des Korpus ist dreigliedrig: eine zentrale Disziplin (Informatik),vier 'reine' Kontaktdisziplinen (Linguistik, Biologie, Maschinen Bau, Elektrotechnik), vier dazugehörige Mischdisziplinen (Computerlinguistik, Bio-Informatik, CAD, Mikroelektronik). Es gibt zwei Versionen des Korpus: ein kleines manuell korrigiertes Korpus (ca. eine Million Wörter), ein großes Korpus (17 Millionen Wörter).",,,,,,,,,,
,scientific discourse,,,,,,,,,,,,,,,,,,
,computer science,,,,,,,,,,,,,,,,,,
,computational linguistics,,,,,,,,,,,,,,,,,,
,biology,,,,,,,,,,,,,,,,,,
,bioinformatics,,,,,,,,,,,,,,,,,,
,electrical engineering,,,,,,,,,,,,,,,,,,
,micro-electronics,,,,,,,,,,,,,,,,,,
,mechanical engineering,,,,,,,,,,,,,,,,,,
,computer-aided design,,,,,,,,,,,,,,,,,,
,functional variation,,,,,,,,,,,,,,,,,,
2020-10-07T13:30:10Z,scripts,"Lilian Wanzare, Alessandra Zarcone, Stefan Thater and Manfred Pinkal. 2016. ""DeScript: A Crowdsourced Corpus for the Acquisition of High-Quality Script Knowledge"". In Proceedings of the 10th International Conference on Language Resources and Evaluation (LREC 16), Portorož, Slovenia. http://www.lrec-conf.org/proceedings/lrec2016/pdf/913_Paper.pdf",clarind-uds:descript,CC BY NC SA,eng,Lilian Wanzare,collection,collection,DeScript is a crowdsourced corpus of event sequence descriptions (ESDs) for different scenarios crowdsourced via Amazon Mechanical Turk. It has 40 scenarios with approximately 100 ESDs each. The corpus also has partial alignments of event descriptions that are semantically similar with respect to the given scenario.,,DeScript: A Crowdsourced Corpus for the Acquisition of High-Quality Script Knowledge,"Lilian Wanzare, Fachrichtung Sprachwissenschaft und Sprachtechnologie, Universität des Saarlandes, Campus C7.4, 66123 Saarbrücken",2016-01-01T00:00:00Z,text/xml,text,xml,,,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:descript
,events,,hdl:21.11119/0000-0000-5DCF-0,,,Alessandra Zarcone,dataset,dataset,,,,,,,,,,,
,crowdsourcing,,,,,Stefan Thater,text,text,,,,,,,,,,,
,paraphrases,,,,,Manfred Pinkal,,,,,,,,,,,,,
2020-10-07T13:30:10Z,parliamentary debates,"Alina Karakanta, Mihaela Vela, and Elke Teich. 2018. “EuroParl-Uds: Preserving and Extending Metadata in Parliamentary Debates”. Proceedings of the LREC 2018. Miyazaki, Japan.",clarind-uds:europarl-uds,CC BY NC SA,eng,Alina Karakanta,text collection,text,"The **EuroParl-UdS** corpus is a parallel corpus consisting of parliamentary debates of the European Parliament containing texts filtered based of native speakers. It is presently available for English, German and Spanish and the data is in plain text format. It contains texts of the European Parliament that were produced between 1999-2017. More specifically it consists of parallel (sentence-aligned) corpora for English into German and English into Spanish, where the source side contains texts only by native English speakers, and comparable monolingual corpora for English, German and Spanish, containing texts only by native speakers of each language.",,EuroParl-Uds,"Elke Teich, Lehrstuhl Englische Sprach- und Übersetzungswissenschaft, Fakultät P, Fachrichtung Sprachwissenschaft und Sprachtechnologie, Universität des Saarlandes, Campus A2.2, 66123 Saarbrücken, Germany",2018-01-01T00:00:00Z,text/plain,text,plain,"uds, Lehrstuhl Englische Sprach- und Übersetzungswissenschaft, Fakultät P, Fachrichtung Sprachwissenschaft und Sprachtechnologie",1999–2016,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:europarl-uds
,proceedings of the european parliament,,hdl:21.11119/0000-0000-D5EE-4,,,Mihaela Vela,written corpus,text,,,,,,,,,,European Union,
,parallel corpus,,,,,Elke Teich,corpus of proceedings of the european parliament,text,,,,,,,,,,Parliamentary Debates,
,properties of translations,,,,,,,,,,,,,,,,,,
,monolingual comparable corpora,,,,,,,,,,,,,,,,,,
,translationese,,,,,,,,,,,,,,,,,,
2020-10-07T13:30:10Z,corpus linguistics,"Lapshinova-Koltunski, E., K. Kunz and M. Amoia (2012). Compiling a Multilingual Corpus. In Heliana Mello, Massimo Pettorino and Tommaso Raso (eds). Proceedings of the VIIth GSCP-2012 International Conference: Speech and Corpora. Firenze: Firenze University Press. pp. 29-34.",clarind-uds:gecco,Copyrighted,deu,Ekaterina Lapshinova-Koltunski,collection,collection,"offers a continuum of different text types (registers) from written to spoken discourse. More precisely, it includes English and German texts of 14 registers, eight of which represent written discourse and include fictional texts (FICTION), political essays (ESSAY), instruction manuals (INSTR), popular-scientific texts (POPSCI), letters to shareholders (SHARE), prepared political speeches (SPEECH), tourism leaflets (TOU) and corporate websites (WEB). This part was imported from the existing corpus CroCo described in (Hansen-Schirra et al., 2013). The written texts are saved in two subcorpora according to the language: English written texts (EO), German written texts (GO). The further registers are of spoken discourse and include recorded and transcribed interviews and academic speeches, see (Lapshinova-Koltunski et al., 2012). The spoken texts are also stored in two further subcorpora classified according to the language of origin: English spoken texts (EO-SPOKEN) and German spoken texts (GO-SPOKEN). The whole number of words contained in the corpus comprise ca. 1,4 Mio. The corpus is pre-annotated on several levels, which include information on tokens, lemmas, morpho-syntactic features (e.g. case, number, etc.), parts-of-speech, pharse chunks and their grammatical functions, as well as and sentence boundaries. The annotation of the written part was partly imported from CroCo, whereas for the spoken part, we use Stanford POS Tagger (Toutanova et al., 2003) and the Stanford Parser (Klein and Manning, 2003). This corpus is also annotated for the information on cohesion (devices and relations), including coreference, conjunctive relations, substitution, ellipsis and lexical cohesion. The semi-automatic procedures were described in lapshinova and Kunz (2014). The annotation of ellipsis is manual and the scheme is described in Menzel (2014). The corpus is encoded in the CWB format (CWB, 2010) and can be queried with Corpus Query Processor (CQP) (Evert, 2005).",EO/GO/ETRANS/GTRANS-ESSAY/FICTION/INSTR/POPSCI/SHARE/SPEECH/TOU/WEB from CroCo (clarind-uds:croco),GECCo,"GECCo Team, LS Steiner",2013-01-01T00:00:00Z,text/xml,text,xml,Universität des Saarlandes,Germany,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:gecco
,linguistics,"Lapshinova-Koltunski, E. and K. Kunz (2014). Annotating Cohesion for Multillingual Analysis. In Proceedings of the 10th Joint ACL - ISO Workshop on Interoperable Semantic Annotation, Reykjavik, May 26, 2014",hdl:11858/00-246C-0000-0023-8CF7-A,,eng,Katrin Menzel,,,"GECCo ist ein bilinguales Korpus (der Name ist vom Projekttitel 'German-English Contrasts in Cohesion' abgeleitet), das insgesamt ca. 1,44 Millionen Tokens enthält und sowohl parallele als auch vergleichbare Subkorpora für Englisch und Deutsch umfasst. GECCo beinhaltet gegenwärtig 12 Register, zu denen sowohl gesprochensprachliche als auch geschriebene Textsorten gehören: ESSAY, FICTION, INSTR, POPSCI, SHARE, SPEECH, TOU, WEB, ACADEMIC, FORUM, INTERVIEW, TALKSHOW, MEDCONSULT, SERMON (je ca. 30.000 Tokens pro Register im jeweiligen Subkorpus). Die Texte der geschriebenen Register sind aus dem CroCo-Korpus übernommen worden, vgl. Hansen-Schirra et al. (2012). Register gesprochener Sprache wurden im Rahmen des GECCo-Projekts gesammelt und annotiert. Probleme der Korpuskompilierung, Zusammenstellung und Annotation dieser Register wurden in Lapshinova et al. (2012) beschrieben. Beschaffung des gesprochensprachlichen Materials ist kompliziert, weil es viel manuellen Aufwand (Transkription) mit sich bringt. Zu beachten ist dabei, dass das Sprachmaterial in beiden Sprachen gesammelt wird und vergleichbar sein soll. Aus diesem Grund ist der geschriebene Teil von GECCo bisher größer als der gesprochene. Das Korpus ist auf verschiedenen Ebenen annotiert und enthält Informationen über Tokens, Lemmata, morpho-syntaktische Eigenschaften (z.B. Genus, Numerus, Kasus usw.) und Wortarten. Syntaktische Annotationen schließen Phrasen-(chunks) und Satzgrenzen ein. Phrasen sind zusätzlich mit ihren grammatischen Funktionen markiert. Diese Annotationen der geschriebenen Korpusregister wurden aus CroCo importiert. Für das gesprochene englische Subkorpus verwenden wir den Stanford POS Tagger (Toutanova et al., 2003) und den Stanford Parser (Klein and Manning, 2003). Für das gesprochene Deutsch wurde MATE (Bohnet, 2010) verwendet. Das Korpus ist auch mit Informationen über Kohäsionsmitteln annotiert: Koreferenz, Konjunktionen, Ellipsen, Substitution und lexikalische Kohäsion. Das semi-automatische Annotationsverfahren für Koreferenz, Konnektoren und Substitution ist in Lapshinova und Kunz (2014) detailliert beschrieben. Die Annotation von Ellipsen erfolgt zurzeit ausschließlich manuell. Das Schema und die Kategorien sind in detaillierten projektinternen Richtlinien dokumentiert (Menzel 2014). Das Gesamtkorpus ist im CWB-Format gespeichert (CWB, 2010), welches Abfragen mit dem Corpus Query Processor (CQP; Evert, 2005) ermöglicht. Es gibt auch MMAX-Dateien.","EO-INTERVIEW: from the BACKBONE project and ELISA corpus files, compiled at Englisches Seminar, Universität Tübingen, interviews about hobbies, work etc.",,,,,,,,,
,translation,"Menzel, Katrin (2014): Guidelines for the manual annotation of ellipses, DFG-Projektbericht.",,,,Kerstin Kunz,,,,"GO-INTERVIEW: from the BACKBONE project, compiled at Englisches Seminar, Universität Tübingen, interviews about hobbies, work etc.",,,,,,,,,
,spoken language,Further publications: http://www.gecco.uni-saarland.de/GECCo/Publikationen.html,,,,Marilisa Amoia,,,,EO-ACADEMIC: lectures from Michigan Corpus of Academic Spoken English,,,,,,,,,
,cohesion,,,,,Prof. Erich Steiner,,,,GO-ACADEMIC: lectures at UdS collected by within the Visual University project and transcribed by student assistants of GECCo team,,,,,,,,,
,language contrasts,,,,,Jose Manuel Martinez Martinez,,,,"EO/GO-FORUM: discussions in internet forums (travel, skin disorders, European politics, coffee, giving up smoking, roses, emotions and singing, depressions, crafting/DIY) collected by student assistants of GECCo team",,,,,,,,,
,discourse phenomena,,,,,,,,,EO-TALKSHOW: collected transcriptions of TV talkshows from the web (by GECCO team),,,,,,,,,
,,,,,,,,,,GO-TALKSHOW: TV talkshows collected and transcribed by student assistants of GECCo team,,,,,,,,,
,,,,,,,,,,EO-MEDONCULT: medical consultations from BNC,,,,,,,,,
,,,,,,,,,,"GO-MEDONCULT: medical consultation, Anamnese oder Aufklärungsgesprächfrom the Dolmetschen im Krankenhaus Korpus",,,,,,,,,
,,,,,,,,,,EO-SERMON: sermons from BNC,,,,,,,,,
,,,,,,,,,,GO-SERMON: sermons from the Predigtarchiv Oberpfarr- und Domkirche zu Berlin,,,,,,,,,
2020-10-07T13:30:10Z,starodruki 17 w.,http://jbc.bj.uj.edu.pl/Content/105661,clarind-uds:poldilemma-105661,CC BY NC SA,pol,,starodruk,text,"Lubomirski, Stanisław (1583-1649). Adr. ded.","Biblioteka Jagiellońska, BJ St. Dr. 17404 I","Znaczna W Cnotę Matrona [...] Anna z Rvśce Lvbomirska, Hrabina na Wisniczv, Kasztelanka Woynicka [...] Dnia 3. Lutego W Krakowie v świętey Troyce schowana, A przy Pogrzebie","Mijakowski, Jacek (1597-1647)",1639-01-01T00:00:00Z,application/xml,application,xml,Drukarnia Andrzeja Piotrkowczyka,1601–1700,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:poldilemma-105661
,,oai:jbc.bj.uj.edu.pl:publication:113006,hdl:11858/00-246C-0000-0023-8CD4-7,CC BY NC SA,,,,,"Koniecpolski, Stanisław (ca 1592-1646). Adr. ded.",,,,,,,,,,
,,,,,,,,,"Koniecpolska, Krystyna (-1645). Adr. ded.",,,,,,,,,,
2020-10-07T13:30:10Z,starodruki 17 w.,http://jbc.bj.uj.edu.pl/Content/105688,clarind-uds:poldilemma-105688,CC BY NC SA,pol,,starodruk,text,"Myszkowski, Ferdynand (-1647). Adr. ded.","Biblioteka Jagiellońska, BJ St. Dr. 17411 I","Zbozny Pobyt Po śmierci Swiątobliwie Zmarłey Matrony [...] Helzbiety Myszkowskiey Marszałkowey Koronney w Pińczowie Przy Pogrzebie ciała iey, do wiadomości wszystkich podany","Mijakowski, Jacek (1597-1647)",1644-01-01T00:00:00Z,application/xml,application,xml,Drukarnia Andrzeja Piotrkowczyka,1601–1700,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:poldilemma-105688
,,oai:jbc.bj.uj.edu.pl:publication:113037,hdl:11858/00-246C-0000-0023-8CD5-5,CC BY NC SA,,,,,,,,,,,,,,,
2020-10-07T13:30:10Z,starodruki 17 w.,http://jbc.bj.uj.edu.pl/Content/105794,clarind-uds:poldilemma-105794,CC BY NC SA,pol,,starodruk,text,"Lubomirska, Anna (-1639). Adr. ded.","Biblioteka Jagiellońska, BJ St. Dr. 53545 I","Smętny Wyiazd Z Połonnego Jaśnie Wielmożney Iey Mści Paniey Zofiey Z Ostroga Lvbomierzkiey; Podczaszyney Koronney, Sędomierskiey, Spiskiey [...] Starośćiney : Ktorą Ludzi zacnych wielki Orszak dnia 16. Stycznia z Ukrainy wyiachawszy aż do Wiśnicza nie bez serdecznego żalu prowadził","Piekarski, Adam (15..-1625)",1623-01-01T00:00:00Z,application/xml,application,xml,Drukarnia Andrzeja Piotrkowczyka,1601–1700,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:poldilemma-105794
,,oai:jbc.bj.uj.edu.pl:publication:113146,hdl:11858/00-246C-0000-0023-8CD6-3,CC BY NC SA,,,,,,,,,,,,,,,
2020-10-07T13:30:10Z,poland -- kings and rulers -- early works to 1800.,http://ebuw.uw.edu.pl/Content/107563,clarind-uds:poldilemma-107563,CC BY NC SA,pol,"Białecki, Piotr Jan (ca 1640-post 1686). Aut. ded.",early book,text,"Inscription: ""Przewielebnemv I. Mci. Xiedzv Woyciechowi Szczerskiemv Zakonu Præmonstrateńskiego S. Norberta Proboszczowi Płockiemu [...] / Piotr Ian z Białocina Białecki, Pisarz Grodzki Siewierski"".",Sd.713.2653,Pamiętnik Xiąząt Y Krolow Polskich Sebastiana Fabiana Klonowica.,"Klonowic, Sebastian Fabian (1545-1602).",1678-01-01T00:00:00Z,application/xml,application,xml,[Franciszek Cezary],,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:poldilemma-107563
,,oai:ebuw.uw.edu.pl:publication:104552,hdl:11858/00-246C-0000-0023-8CD7-1,CC BY NC SA,lat,"Cezary, Franciszek (ca 1660-1724). Druk.",,,Place of Publication: Cracow-Poland.,,,,,,,,,,
,,,,,,,,,"Adresat dedykacji: Szczerski, Wojciech (-post 1685).",,,,,,,,,,
,,,,,,,,,"Dedykacja: ""Przewielebnemv I. Mci. Xiedzv Woyciechowi Szczerskiemv Zakonu Præmonstrateńskiego S. Norberta Proboszczowi Płockiemu [...] / Piotr Ian z Białocina Białecki, Pisarz Grodzki Siewierski"".",,,,,,,,,,
,,,,,,,,,Na drugiej karcie nieliczbowanej drzeworytowy herb Ogończyk Szczerskiego oraz wiersz na herb.,,,,,,,,,,
,,,,,,,,,"Na stronie tytułowej data wydania w chronogramie: ""Anno QVo poLonI De tVrCis fVgatIs triVMphant, Sev Posteriori post eum QVo aD HoCIM poLonI eos fortIter fVgaVerVnt."" [i.e. 1678].",,,,,,,,,,
,,,,,,,,,Współczesna nazwa miejsca wydania: Kraków-Polska.,,,,,,,,,,
,,,,,,,,,[Wydanie:] Znowu z Przydatkiem y wyliczeniem Monosticorvm Piotra Iana z Białocina Białeckiego [...] Do Druku podany [...].,,,,,,,,,,
,,,,,,,,,"Zapowiedź współwydanego ""Monostica"" z tytułem nagłówka (karta B3).",,,,,,,,,,
2020-10-07T13:30:10Z,starodruki 17 w.,http://jbc.bj.uj.edu.pl/Content/121734,clarind-uds:poldilemma-121734,CC BY NC SA,pol,,starodruk,text,"Piasecki, Piotr (15..-16..). Adr. ded.","Biblioteka Jagiellońska, BJ St. Dr. 25499 I","Alchimia W Raiv Przesadzona Z Zywą Y Vmarłą Smiercią Przed Bramami Pierwszego Y Ostatniego Dni, Jego Mości P. Stephana Jacynicza Słonimskiego Powiatv Marszałka. : Na pogrzebie Roku 1637. Dnia 3. Februarij [...] wyprawiona","Giżycki, Stefan ( -1644)",1637-01-01T00:00:00Z,application/xml,application,xml,Drukarnia Akademicka,1601–1700,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:poldilemma-121734
,,oai:jbc.bj.uj.edu.pl:publication:129465,hdl:11858/00-246C-0000-0023-8CD9-E,CC BY NC SA,lat,,,,,,,,,,,,,,
