datestamp,identifier,creator,format,format - mediatype,format - subtype,title,rights,date,relation,subject,description,language,type,type - dcmi recommendation,publisher,source,contributor,record id,record - header - setSpec
2020-06-24T15:19:55Z,doi:10.20375/0000-000C-D96D-6,"Cervantes Saavedra, Miguel de",text/plain,text,plain,Cervantes-36.txt,CC BY,2020-06-24T15:19:55Z,hdl:21.11113/0000-000C-D929-2,Romanistik,"The texts for the collection of the second volume of the ""Quijote"" by Cervantes and the ""Quijote apocrífo"" in chapters by Avellaneda are originally extracted from Biblioteca Virtual de Miguel de Cervantes and manually converted to plaintext format: For Cervantes: http://www.cervantesvirtual.com/obra-visor/segunda-parte-del-ingenioso-caballero-don-quijote-de-la-mancha--0/html/ The texts were used for the stylometric analysis in: DOI: 10.17175/2018_004",spa,Prose,Text,,,,hdl:21.11113/0000-000C-D96D-6,hdl:21.11113/0000-000C-D96D-6
,hdl:21.11113/0000-000C-D96D-6,http://d-nb.info/gnd/11851993X,,,,,,,DOI: 10.17175/2018_004,,,,,,,,,,
2020-09-16T21:21:35Z,hdl:21.11113/0000-000D-1D05-E,"Jörg Lehmann (Eberhard Karls Universität Tübingen), author",application/pdf,application,pdf,Accompanying Publications,CC BY,2020-09-16T21:21:35Z,hdl:21.11113/0000-000D-1CFF-6,Texts,This text elucidates how we make use of the FAIR data principles.,eng,Texts,Text,,,,hdl:21.11113/0000-000D-1D05-E,hdl:21.11113/0000-000D-1D05-E
,doi:10.20375/0000-000D-1D05-E,,.pdf,,,Spanish-language Cultural Magazines from Modernismo to Avant-Garde: Processes of Modernization and Transnational Network Formation,CC BY,,,Hojas De Datos,,spa,Textos,Text,,,,,
,,,,application,pdf,Revistas culturales históricas en lengua española desde el modernismo hasta las vanguardias: procesos de modernización y formación de redes transnacionales,,,,Spanish Studies,,,,,,,,,
,,,,,,03_Joerg-Lehmann_FAIR-Principles.pdf,,,,Revistas Culturales Históricas En Lengua Española,,,,,,,,,
,,,,,,,,,,Digital Humanities,,,,,,,,,
,,,,,,,,,,Literatura Europea Y Americana,,,,,,,,,
,,,,,,,,,,Historia Y Filosofía,,,,,,,,,
,,,,,,,,,,Humanidades Digitales,,,,,,,,,
,,,,,,,,,,Texts,,,,,,,,,
,,,,,,,,,,Gráficos,,,,,,,,,
,,,,,,,,,,Literatura General Y Comparada Y Estudios Culturales,,,,,,,,,
,,,,,,,,,,European And American Literature,,,,,,,,,
,,,,,,,,,,Análisis De Redes,,,,,,,,,
,,,,,,,,,,General And Comparative Literature And Cultural Studies,,,,,,,,,
,,,,,,,,,,Romance Philology,,,,,,,,,
,,,,,,,,,,Network Analysis,,,,,,,,,
,,,,,,,,,,History And Philosophy,,,,,,,,,
,,,,,,,,,,Graphs,,,,,,,,,
,,,,,,,,,,Data Sheets,,,,,,,,,
,,,,,,,,,,Romance Studies,,,,,,,,,
,,,,,,,,,,Historical Spanish-language Cultural Magazines,,,,,,,,,
,,,,,,,,,,Literary Studies,,,,,,,,,
,,,,,,,,,,Filología Hispánica,,,,,,,,,
,,,,,,,,,,Romanistik,,,,,,,,,
,,,,,,,,,,Filología Románica,,,,,,,,,
,,,,,,,,,,Ciencia Literaria,,,,,,,,,
2021-08-13T06:13:13Z,doi:10.20375/0000-000E-6791-A,Jörg Lehmann,text/plain,text,plain,Test4-POS.txt,CC BY,2021-08-13T06:13:13Z,hdl:21.11113/0000-000E-6729-1,,"64 Part-of-Speech-getaggte Dramen Calderón de la Barcas, txt-Dateien, UTF-8-codiert",,,,,,,hdl:21.11113/0000-000E-6791-A,hdl:21.11113/0000-000E-6791-A
,hdl:21.11113/0000-000E-6791-A,,,,,,,,,,,,,,,,,,
2020-02-02T16:02:23Z,hdl:21.11113/0000-000C-B41E-8,"Roopa Pai, Greystroke, DADD-INITIATIVE e.V",application/pdf,application,pdf,أختي... أختي... أين تذهب الشمس في المساء؟,CC-Lizenz. Einige Rechte geschützt. ,2020-02-02T16:02:23Z,hdl:21.11113/0000-000C-B3D7-7,Kindergeschichten,"Diese Sammlung beinhaltet Kindergeschichten, die vom Englischen ins Arabische übersetzt und unter zwei CC-Lizensen veröffentlicht worden sind, gemäß der Anforderungen des ursprünglichen Werkes. 1. CC BY-SA Link zur Lizenz: https://creativecommons.org/licenses/by-sa/4.0/ 2. CC BY-NC-SA Link zur Lizenz: https://creativecommons.org/licenses/by-nc-sa/4.0/ هذه مجموعة من القصص المترجمة للعربية وهي نتاج مشروع قامت به مبادرة ض في ألمانيا (DADD-INITIATIVE e.V.) كل القصص مدرجة ضمن تصنيف المشاع الإبداعي وفقاً للأصل ولما تم التوافق حوله مع المؤلفين. تصنيف القصص لرخصتين هما: 1. CC BY-SA رابط للرخصة: https://creativecommons.org/licenses/by-sa/4.0/ 2. CC BY-NC-SA رابط للرخصة https://creativecommons.org/licenses/by-nc-sa/4.0/",ara,,,DADD-INITIATIVE e.V,freekidsbooks.org,,hdl:21.11113/0000-000C-B41E-8,hdl:21.11113/0000-000C-B41E-8
,doi:10.20375/0000-000C-B41E-8,,pdf,application,pdf,,,,,,,,,,,,,,
2021-10-12T11:50:03Z,doi:10.20375/0000-000E-682F-A,dekoder.org,text/plain,text,plain,3_terms.parquet.gzip,ODC BY,2021-10-12T11:50:03Z,hdl:21.11113/0000-000E-682C-D,,,,,,,,,hdl:21.11113/0000-000E-682F-A,hdl:21.11113/0000-000E-682F-A
,hdl:21.11113/0000-000E-682F-A,,,,,,,,,,,,,,,,,,
2017-12-05T12:57:41Z,doi:10.20375/0000-000B-CA39-2,"Mache, Beata",KML,application,kml,Wirkungsorte_promovierte-Mitwirkende.kml,CC BY,2017-12-05T12:57:41Z,hdl:21.11113/0000-000B-C8F2-2,,,,,,,,,hdl:21.11113/0000-000B-CA39-2,hdl:21.11113/0000-000B-CA39-2
,hdl:21.11113/0000-000B-CA39-2,,,,,,,,,,,,,,,,,,
2017-12-05T12:56:03Z,doi:10.20375/0000-000B-C9D3-4,"Mache, Beata",pdf,application,pdf,Universal-Kirchenzeitung-Volltext_011.pdf,CC BY,2017-12-05T12:56:03Z,hdl:21.11113/0000-000B-C8F2-2,,,deu,,,,,,hdl:21.11113/0000-000B-C9D3-4,hdl:21.11113/0000-000B-C9D3-4
,hdl:21.11113/0000-000B-C9D3-4,,application/pdf,application,pdf,,,,,,,,,,,,,,
2021-01-22T16:19:59Z,doi:10.20375/0000-000D-F80A-1,"Maria Golovina, Elizaveta Semirkhanova, Anna Sokolova",text/vnd.dariah.dhrep.collection+turtle,text,turtle,For Fair Elections: Sociological Portrait of the Protesters – Sakharova street,ODC BY,2021-01-22T16:19:59Z,,,https://github.com/bardaguera/ForFairElections-datasets/blob/master/Sakharova_street_desc.md,,,,,,,hdl:21.11113/0000-000D-F80A-1,hdl:21.11113/0000-000D-F80A-1
,hdl:21.11113/0000-000D-F80A-1,,,,,,,,,,,,,,,,,,
2017-12-05T12:54:38Z,doi:10.20375/0000-000B-C97C-8,"Honinghaus, Julius Vinzent",pdf,application,pdf,Universal-Kirchenzeitung-Faksimile_029.pdf,CC 0,2017-12-05T12:54:38Z,hdl:21.11113/0000-000B-C8F2-2,,,deu,,,,,,hdl:21.11113/0000-000B-C97C-8,hdl:21.11113/0000-000B-C97C-8
,hdl:21.11113/0000-000B-C97C-8,"Mache, Beata",application/pdf,application,pdf,,,,,,,,,,,,,,
2020-02-02T16:02:32Z,hdl:21.11113/0000-000C-B426-E,"Ashleigh Brown, Michael A. Jones, Joshua D. Bernstein and Chelsea E. Hall, DADD-INITIATIVE e.V",application/pdf,application,pdf,الفواكه,CC-Lizenz. Einige Rechte geschützt. ,2020-02-02T16:02:32Z,hdl:21.11113/0000-000C-B3D7-7,Kindergeschichten,"Diese Sammlung beinhaltet Kindergeschichten, die vom Englischen ins Arabische übersetzt und unter zwei CC-Lizensen veröffentlicht worden sind, gemäß der Anforderungen des ursprünglichen Werkes. 1. CC BY-SA Link zur Lizenz: https://creativecommons.org/licenses/by-sa/4.0/ 2. CC BY-NC-SA Link zur Lizenz: https://creativecommons.org/licenses/by-nc-sa/4.0/ هذه مجموعة من القصص المترجمة للعربية وهي نتاج مشروع قامت به مبادرة ض في ألمانيا (DADD-INITIATIVE e.V.) كل القصص مدرجة ضمن تصنيف المشاع الإبداعي وفقاً للأصل ولما تم التوافق حوله مع المؤلفين. تصنيف القصص لرخصتين هما: 1. CC BY-SA رابط للرخصة: https://creativecommons.org/licenses/by-sa/4.0/ 2. CC BY-NC-SA رابط للرخصة https://creativecommons.org/licenses/by-nc-sa/4.0/",ara,,,DADD-INITIATIVE e.V,freekidsbooks.org,,hdl:21.11113/0000-000C-B426-E,hdl:21.11113/0000-000C-B426-E
,doi:10.20375/0000-000C-B426-E,,pdf,application,pdf,,,,,,,,,,,,,,
2021-07-26T08:25:54Z,doi:10.20375/0000-000E-5F65-7,Bundesgerichtshof,application/pdf,application,pdf,"Anforderungen an die Beweiswürdigung zur Täterschaft eines Angeklagten - BGH, Urt. v. 14.1.2021 - 3 StR 124/20",KriPoZ,2021-07-26T08:25:54Z,hdl:21.11113/0000-000E-5F5C-2,,,,,,Kriminalpolitische Zeitschrift,"KriPoZ 2021, 188 ff.",,hdl:21.11113/0000-000E-5F65-7,hdl:21.11113/0000-000E-5F65-7
,hdl:21.11113/0000-000E-5F65-7,,,,,,,,,,,,,,,,,,
2017-12-05T12:57:26Z,hdl:21.11113/0000-000B-CA27-6,"Mache, Beata",pdf,application,pdf,Universal-Kirchenzeitung-Volltext_094.pdf,CC BY,2017-12-05T12:57:26Z,hdl:21.11113/0000-000B-C8F2-2,,,deu,,,,,,hdl:21.11113/0000-000B-CA27-6,hdl:21.11113/0000-000B-CA27-6
,doi:10.20375/0000-000B-CA27-6,,application/pdf,application,pdf,,,,,,,,,,,,,,
2017-12-05T12:57:06Z,doi:10.20375/0000-000B-CA13-C,"Mache, Beata",pdf,application,pdf,Universal-Kirchenzeitung-Volltext_074.pdf,CC BY,2017-12-05T12:57:06Z,hdl:21.11113/0000-000B-C8F2-2,,,deu,,,,,,hdl:21.11113/0000-000B-CA13-C,hdl:21.11113/0000-000B-CA13-C
,hdl:21.11113/0000-000B-CA13-C,,application/pdf,application,pdf,,,,,,,,,,,,,,
2021-07-30T10:20:56Z,hdl:21.11113/0000-000E-6373-1,Prof. Dr. Carsten Momsen,application/pdf,application,pdf,Integrität des Sports – Was sollen neue Tatbestände schützen?,KriPoZ,2021-07-30T10:20:56Z,hdl:21.11113/0000-000E-636F-7,,,,,,Kriminalpolitische Zeitschrift,"KriPoZ 2018, 21 ff.",,hdl:21.11113/0000-000E-6373-1,hdl:21.11113/0000-000E-6373-1
,doi:10.20375/0000-000E-6373-1,,,,,,,,,,,,,,,,,,
2020-10-15T10:21:12Z,hdl:21.11113/0000-000D-3980-2,Heiko Pleines,text/plain,text,plain,complete-codes-merged.mx20,ODC BY,2020-10-15T10:21:12Z,hdl:21.11113/0000-000D-397D-8,,,,,,,,,hdl:21.11113/0000-000D-3980-2,hdl:21.11113/0000-000D-3980-2
,doi:10.20375/0000-000D-3980-2,,,,,,,,,,,,,,,,,,
2020-02-01T20:22:34Z,doi:10.20375/0000-000C-B38C-C,"Caren Echesa, Jesse Breytenbach, DADD-INITIATIVE e.V",pdf,application,pdf,Die 7 Regenbogenfarben,CC-Lizenz. Einige Rechte geschützt. ,2020-02-01T20:22:34Z,hdl:21.11113/0000-000C-B385-3,Kindergeschichten,"Diese Sammlung beinhaltet Kindergeschichten, die vom Englischen ins Deutsche übersetzt und unter zwei CC-Lizensen veröffentlicht worden sind, gemäß der Anforderungen des ursprünglichen Werkes. 1. CC BY-SA Link zur Lizenz: https://creativecommons.org/licenses/by-sa/4.0/ 2. CC BY-NC-SA Link zur Lizenz: https://creativecommons.org/licenses/by-nc-sa/4.0/",deu,,,DADD-INITIATIVE e.V,,,hdl:21.11113/0000-000C-B38C-C,hdl:21.11113/0000-000C-B38C-C
,hdl:21.11113/0000-000C-B38C-C,,application/pdf,application,pdf,,,,,,,,,,,,,,
2021-05-04T10:13:40Z,doi:10.20375/0000-000E-0F82-F,"Bluhm Katharina, Klimovich Stanislav, Pape Ulla",text/plain,text,plain,2010_Lukoil_SECA_2010-2014_02.12.2010.pdf,ODC BY SA,2021-05-04T10:13:40Z,hdl:21.11113/0000-000E-0F80-1,,,,,,,,,hdl:21.11113/0000-000E-0F82-F,hdl:21.11113/0000-000E-0F82-F
,hdl:21.11113/0000-000E-0F82-F,,,,,,,,,,,,,,,,,,
2017-12-05T12:57:48Z,doi:10.20375/0000-000B-CA42-7,"Mache, Beata",text/xml,text,xml,Universal-Kirchenzeitung - Verzeichnis_Länder,CC BY,2017-12-05T12:57:48Z,hdl:21.11113/0000-000B-C8F2-2,,,,Text,Text,,,,hdl:21.11113/0000-000B-CA42-7,hdl:21.11113/0000-000B-CA42-7
,hdl:21.11113/0000-000B-CA42-7,,,,,,,,,,,,,,,,,,
2021-07-29T09:40:22Z,doi:10.20375/0000-000E-632D-1,Dr. Kurt Graulich,application/pdf,application,pdf,"Polizeiliche Gefahrenabwehr mit heimlichen Überwachungsmaßnahmen - Anm. zu BVerfG, Urt. v. 20.4.2016 – 1 BvR 966/09, 1 BvR 1140/09 – zum BKAG",KriPoZ,2021-07-29T09:40:22Z,hdl:21.11113/0000-000E-6327-7,,,,,,Kriminalpolitische Zeitschrift,"KriPoZ 2016, 75 ff.",,hdl:21.11113/0000-000E-632D-1,hdl:21.11113/0000-000E-632D-1
,hdl:21.11113/0000-000E-632D-1,,,,,,,,,,,,,,,,,,
2021-07-26T08:25:48Z,doi:10.20375/0000-000E-5F5F-F,Prof. Dr. Anja Schiemann,application/pdf,application,pdf,„Bekämpfungsstrafrecht“ außer Rand und Band – Zur unverhältnismäßigen Reform des Geldwäschetatbestands,KriPoZ,2021-07-26T08:25:48Z,hdl:21.11113/0000-000E-5F5C-2,,,,,,Kriminalpolitische Zeitschrift,"KriPoZ 2021, 151 ff.",,hdl:21.11113/0000-000E-5F5F-F,hdl:21.11113/0000-000E-5F5F-F
,hdl:21.11113/0000-000E-5F5F-F,,,,,,,,,,,,,,,,,,
