datestamp,identifier,subject,title,publisher,date,type,language,source,rights,creator,format,format - mediatype,format - subtype,relation,contributor,description,coverage,record id,record - header - setSpec
2022-12-12T11:38:53Z,https://hdl.handle.net/21.11120/0000-0008-3197-6,webservice,Lemmas2Lexicon,Lexikalische Datenbank (dlexDB),2016-09-06T15:36:12Z,text,,,,"Pohl, Edmund",,,,WebLichtWebServices,WebLichtWebServices,WebLichtWebServices,,WebLichtWebServices:19,WebLichtWebServices
2022-12-12T11:38:53Z,https://hdl.handle.net/21.11120/0000-0008-31A7-4,webservice,Plaintext Converter,Digitales Wörterbuch der deutschen Sprache,2016-09-13T15:35:57Z,text,,,,"Didakowski, Jörg",,,,WebLichtWebServices,Plaintext Converter,WebLichtWebServices,,WebLichtWebServices:2,WebLichtWebServices
2022-12-12T11:38:53Z,https://hdl.handle.net/21.11120/0000-0008-3198-5,,WebLichtWebServices,WebLichtWebServices,2014-12-19T11:16:21Z,,,,,WebLichtWebServices,,,,,,,,WebLichtWebServices:20,WebLichtWebServices
2022-12-12T11:38:53Z,https://hdl.handle.net/21.11120/0000-0008-3199-4,,WebLichtWebServices,WebLichtWebServices,2014-12-19T11:16:23Z,,,,,WebLichtWebServices,,,,,,,,WebLichtWebServices:21,WebLichtWebServices
2022-12-12T11:38:53Z,https://hdl.handle.net/21.11120/0000-0008-319A-3,,WebLichtWebServices,WebLichtWebServices,2014-12-15T09:31:02Z,,,,,WebLichtWebServices,,,,,,,,WebLichtWebServices:22,WebLichtWebServices
2022-12-12T11:38:53Z,https://hdl.handle.net/21.11120/0000-0008-319B-2,,WebLichtWebServices,WebLichtWebServices,2014-12-15T09:31:05Z,,,,,WebLichtWebServices,,,,,,,,WebLichtWebServices:23,WebLichtWebServices
2022-12-12T11:38:53Z,https://hdl.handle.net/21.11120/0000-0008-3176-C,webservice,Part-of-Speech Tagger,Digitales Wörterbuch der deutschen Sprache,2014-12-15T09:30:47Z,text,,,,"Jurish, Bryan",,,,,,,,WebLichtWebServices:3,WebLichtWebServices
2022-12-12T11:38:53Z,https://hdl.handle.net/21.11120/0000-0008-3179-9,webservice,TextCorpus2Lexicon,Lexikalische Datenbank (dlexDB),2016-09-06T15:36:12Z,text,,,,"Pohl, Edmund",,,,WebLichtWebServices,WebLichtWebServices,WebLichtWebServices,,WebLichtWebServices:4,WebLichtWebServices
2022-12-12T11:38:53Z,https://hdl.handle.net/21.11120/0000-0008-317A-8,webservice,DWDS-Wortprofil,Digitales Wörterbuch der deutschen Sprache,2016-07-20T15:36:18Z,text,,,,"Didakowski, Jörg",,,,WebLichtWebServices,WebLichtWebServices,WebLichtWebServices,,WebLichtWebServices:5,WebLichtWebServices
2022-12-12T11:38:53Z,https://hdl.handle.net/21.11120/0000-0008-317F-3,,WebLichtWebServices,WebLichtWebServices,2014-12-19T11:16:18Z,,,,,WebLichtWebServices,,,,,,,,WebLichtWebServices:6,WebLichtWebServices
2022-12-12T11:38:53Z,https://hdl.handle.net/21.11120/0000-0008-3182-D,webservice,Person Name Recognizer,Digitales Wörterbuch der deutschen Sprache,2016-07-19T15:36:25Z,text,,,,"Didakowski, Jörg",,,,WebLichtWebServices,WebLichtWebServices,WebLichtWebServices,,WebLichtWebServices:7,WebLichtWebServices
2022-12-12T11:38:53Z,https://hdl.handle.net/21.11120/0000-0008-3183-C,,WebLichtWebServices,WebLichtWebServices,2014-12-15T09:30:53Z,,,,,WebLichtWebServices,,,,,,,,WebLichtWebServices:8,WebLichtWebServices
2022-12-12T11:38:53Z,https://hdl.handle.net/21.11120/0000-0008-3187-8,webservice,Tokens2Lexicon,Lexikalische Datenbank (dlexDB),2016-09-06T15:36:12Z,text,,,,"Pohl, Edmund",,,,WebLichtWebServices,WebLichtWebServices,WebLichtWebServices,,WebLichtWebServices:9,WebLichtWebServices
2022-12-12T11:38:53Z,http://hdl.handle.net/21.11120/0000-000C-4027-0,Wissenschaft,"Polytechnisches Journal. Band 1, Jahrgang 1820",DTA (Dingler),1820-01-01T00:00:00Z,text,deu,"Dr. Johann Gottfried Dingler: Polytechnisches Journal. Bd. 1. Stuttgart, 1820.",CC BY SA,Johann Gottfried Dingler,text xml,text,xml,,,,,dingler:1156,dingler
,http://hdl.handle.net/21.11120/0000-000C-4026-1,,,,,,,,,,,,,,,,,,
,http://digital.slub-dresden.de/id32258227Z,,,,,,,,,,,,,,,,,,
2022-12-12T11:38:53Z,http://hdl.handle.net/21.11120/0000-000C-4029-E,Wissenschaft,"Polytechnisches Journal. Band 2, Jahrgang 1820",DTA (Dingler),1820-01-01T00:00:00Z,text,deu,"Dr. Johann Gottfried Dingler: Polytechnisches Journal. Bd. 2. Stuttgart, 1820.",CC BY SA,Johann Gottfried Dingler,text xml,text,xml,,,,,dingler:1157,dingler
,http://hdl.handle.net/21.11120/0000-000C-4028-F,,,,,,,,,,,,,,,,,,
,http://digital.slub-dresden.de/id32258226Z,,,,,,,,,,,,,,,,,,
2022-12-12T11:38:53Z,http://hdl.handle.net/21.11120/0000-000C-402B-C,Wissenschaft,"Polytechnisches Journal. Band 3, Jahrgang 1820",DTA (Dingler),1820-01-01T00:00:00Z,text,deu,"Dr. Johann Gottfried Dingler: Polytechnisches Journal. Bd. 3. Stuttgart, 1820.",CC BY SA,Johann Gottfried Dingler,text xml,text,xml,,,,,dingler:1158,dingler
,http://hdl.handle.net/21.11120/0000-000C-402A-D,,,,,,,,,,,,,,,,,,
,http://digital.slub-dresden.de/id32258225Z,,,,,,,,,,,,,,,,,,
2022-12-12T11:38:53Z,http://hdl.handle.net/21.11120/0000-000C-402D-A,Wissenschaft,"Polytechnisches Journal. Band 4, Jahrgang 1821",DTA (Dingler),1821-01-01T00:00:00Z,text,deu,"Dr. Johann Gottfried Dingler: Polytechnisches Journal. Bd. 4. Stuttgart, 1821.",CC BY SA,Johann Gottfried Dingler,text xml,text,xml,,,,,dingler:1159,dingler
,http://hdl.handle.net/21.11120/0000-000C-402C-B,,,,,,,,,,,,,,,,,,
,http://digital.slub-dresden.de/id30583702Z,,,,,,,,,,,,,,,,,,
2022-12-12T11:38:53Z,http://hdl.handle.net/21.11120/0000-000C-402F-8,Wissenschaft,"Polytechnisches Journal. Band 5, Jahrgang 1821",DTA (Dingler),1821-01-01T00:00:00Z,text,deu,"Dr. Johann Gottfried Dingler: Polytechnisches Journal. Bd. 5. Stuttgart, 1821.",CC BY SA,Johann Gottfried Dingler,text xml,text,xml,,,,,dingler:1160,dingler
,http://hdl.handle.net/21.11120/0000-000C-402E-9,,,,,,,,,,,,,,,,,,
,http://digital.slub-dresden.de/id32258224Z,,,,,,,,,,,,,,,,,,
2022-12-12T11:38:53Z,http://hdl.handle.net/21.11120/0000-000C-4031-4,Wissenschaft,"Polytechnisches Journal. Band 6, Jahrgang 1821",DTA (Dingler),1821-01-01T00:00:00Z,text,deu,"Dr. Johann Gottfried Dingler: Polytechnisches Journal. Bd. 6. Stuttgart, 1821.",CC BY SA,Johann Gottfried Dingler,text xml,text,xml,,,,,dingler:1161,dingler
,http://hdl.handle.net/21.11120/0000-000C-4030-5,,,,,,,,,,,,,,,,,,
,http://digital.slub-dresden.de/id32258223Z,,,,,,,,,,,,,,,,,,
2022-12-12T11:38:53Z,http://hdl.handle.net/21.11120/0000-000C-4033-2,Wissenschaft,"Polytechnisches Journal. Band 7, Jahrgang 1822",DTA (Dingler),1822-01-01T00:00:00Z,text,deu,"Dr. Johann Gottfried Dingler: Polytechnisches Journal. Bd. 7. Stuttgart, 1822.",CC BY SA,Johann Gottfried Dingler,text xml,text,xml,,,,,dingler:1162,dingler
,http://hdl.handle.net/21.11120/0000-000C-4032-3,,,,,,,,,,,,,,,,,,
,http://digital.slub-dresden.de/id32258222Z,,,,,,,,,,,,,,,,,,
2022-12-12T11:38:53Z,http://hdl.handle.net/21.11120/0000-000C-4035-0,Wissenschaft,"Polytechnisches Journal. Band 8, Jahrgang 1822",DTA (Dingler),1822-01-01T00:00:00Z,text,deu,"Dr. Johann Gottfried Dingler: Polytechnisches Journal. Bd. 8. Stuttgart, 1822.",CC BY SA,Johann Gottfried Dingler,text xml,text,xml,,,,,dingler:1163,dingler
,http://hdl.handle.net/21.11120/0000-000C-4034-1,,,,,,,,,,,,,,,,,,
,http://digital.slub-dresden.de/id32258221Z,,,,,,,,,,,,,,,,,,
2022-12-12T11:38:53Z,http://hdl.handle.net/21.11120/0000-000C-4037-E,Wissenschaft,"Polytechnisches Journal. Band 9, Jahrgang 1822",DTA (Dingler),1822-01-01T00:00:00Z,text,deu,"Dr. Johann Gottfried Dingler: Polytechnisches Journal. Bd. 9. Stuttgart, 1822.",CC BY SA,Johann Gottfried Dingler,text xml,text,xml,,,,,dingler:1164,dingler
,http://hdl.handle.net/21.11120/0000-000C-4036-F,,,,,,,,,,,,,,,,,,
,http://digital.slub-dresden.de/id32258220Z,,,,,,,,,,,,,,,,,,
2022-12-12T11:38:53Z,http://hdl.handle.net/21.11120/0000-000C-4039-C,Wissenschaft,"Polytechnisches Journal. Band 10, Jahrgang 1823",DTA (Dingler),1823-01-01T00:00:00Z,text,deu,"Dr. Johann Gottfried Dingler: Polytechnisches Journal. Bd. 10. Stuttgart, 1823.",CC BY SA,Johann Gottfried Dingler,text xml,text,xml,,,,,dingler:1165,dingler
,http://hdl.handle.net/21.11120/0000-000C-4038-D,,,,,,,,,,,,,,,,,,
,http://digital.slub-dresden.de/id30130090Z,,,,,,,,,,,,,,,,,,
2022-12-12T11:38:53Z,http://hdl.handle.net/21.11120/0000-000C-403B-A,Wissenschaft,"Polytechnisches Journal. Band 11, Jahrgang 1823",DTA (Dingler),1823-01-01T00:00:00Z,text,deu,"Dr. Johann Gottfried Dingler: Polytechnisches Journal. Bd. 11. Stuttgart, 1823.",CC BY SA,Johann Gottfried Dingler,text xml,text,xml,,,,,dingler:1166,dingler
,http://hdl.handle.net/21.11120/0000-000C-403A-B,,,,,,,,,,,,,,,,,,
,http://digital.slub-dresden.de/id30130091Z,,,,,,,,,,,,,,,,,,
2022-12-12T11:38:53Z,http://hdl.handle.net/21.11120/0000-000C-403D-8,Wissenschaft,"Polytechnisches Journal. Band 12, Jahrgang 1823",DTA (Dingler),1823-01-01T00:00:00Z,text,deu,"Dr. Johann Gottfried Dingler: Polytechnisches Journal. Bd. 12. Stuttgart, 1823.",CC BY SA,Johann Gottfried Dingler,text xml,text,xml,,,,,dingler:1167,dingler
,http://hdl.handle.net/21.11120/0000-000C-403C-9,,,,,,,,,,,,,,,,,,
,http://digital.slub-dresden.de/id32258218Z,,,,,,,,,,,,,,,,,,
2022-12-12T11:38:53Z,http://hdl.handle.net/21.11120/0000-000C-403F-6,Wissenschaft,"Polytechnisches Journal. Band 13, Jahrgang 1824",DTA (Dingler),1824-01-01T00:00:00Z,text,deu,"Dr. Johann Gottfried Dingler: Polytechnisches Journal. Bd. 13. Stuttgart, 1824.",CC BY SA,Johann Gottfried Dingler,text xml,text,xml,,,,,dingler:1168,dingler
,http://hdl.handle.net/21.11120/0000-000C-403E-7,,,,,,,,,,,,,,,,,,
,http://digital.slub-dresden.de/id32258217Z,,,,,,,,,,,,,,,,,,
2022-12-12T11:38:53Z,http://hdl.handle.net/21.11120/0000-000C-4041-2,Wissenschaft,"Polytechnisches Journal. Band 14, Jahrgang 1824",DTA (Dingler),1824-01-01T00:00:00Z,text,deu,"Dr. Johann Gottfried Dingler: Polytechnisches Journal. Bd. 14. Stuttgart, 1824.",CC BY SA,Johann Gottfried Dingler,text xml,text,xml,,,,,dingler:1169,dingler
,http://hdl.handle.net/21.11120/0000-000C-4040-3,,,,,,,,,,,,,,,,,,
,http://digital.slub-dresden.de/id32258215Z,,,,,,,,,,,,,,,,,,
2022-12-12T11:38:53Z,http://hdl.handle.net/21.11120/0000-000C-4043-0,Wissenschaft,"Polytechnisches Journal. Band 15, Jahrgang 1824",DTA (Dingler),1824-01-01T00:00:00Z,text,deu,"Dr. Johann Gottfried Dingler: Polytechnisches Journal. Bd. 15. Stuttgart, 1824.",CC BY SA,Johann Gottfried Dingler,text xml,text,xml,,,,,dingler:1170,dingler
,http://hdl.handle.net/21.11120/0000-000C-4042-1,,,,,,,,,,,,,,,,,,
,http://digital.slub-dresden.de/id32258214Z,,,,,,,,,,,,,,,,,,
2022-12-12T11:38:53Z,http://hdl.handle.net/21.11120/0000-000C-4045-E,Wissenschaft,"Polytechnisches Journal. Band 16, Jahrgang 1825",DTA (Dingler),1825-01-01T00:00:00Z,text,deu,"Dr. Johann Gottfried Dingler: Polytechnisches Journal. Bd. 16. Stuttgart, 1825.",CC BY SA,Johann Gottfried Dingler,text xml,text,xml,,,,,dingler:1171,dingler
,http://hdl.handle.net/21.11120/0000-000C-4044-F,,,,,,,,,,,,,,,,,,
,http://digital.slub-dresden.de/id32258212Z,,,,,,,,,,,,,,,,,,
2022-12-12T11:38:53Z,http://hdl.handle.net/21.11120/0000-000C-4047-C,Wissenschaft,"Polytechnisches Journal. Band 17, Jahrgang 1825",DTA (Dingler),1825-01-01T00:00:00Z,text,deu,"Dr. Johann Gottfried Dingler: Polytechnisches Journal. Bd. 17. Stuttgart, 1825.",CC BY SA,Johann Gottfried Dingler,text xml,text,xml,,,,,dingler:1172,dingler
,http://hdl.handle.net/21.11120/0000-000C-4046-D,,,,,,,,,,,,,,,,,,
,http://digital.slub-dresden.de/id30130092Z,,,,,,,,,,,,,,,,,,
2022-12-12T11:38:53Z,http://hdl.handle.net/21.11120/0000-000C-4049-A,Wissenschaft,"Polytechnisches Journal. Band 18, Jahrgang 1825",DTA (Dingler),1825-01-01T00:00:00Z,text,deu,"Dr. Johann Gottfried Dingler: Polytechnisches Journal. Bd. 18. Stuttgart, 1825.",CC BY SA,Johann Gottfried Dingler,text xml,text,xml,,,,,dingler:1173,dingler
,http://hdl.handle.net/21.11120/0000-000C-4048-B,,,,,,,,,,,,,,,,,,
,http://digital.slub-dresden.de/id30364587Z,,,,,,,,,,,,,,,,,,
2022-12-12T11:38:53Z,http://hdl.handle.net/21.11120/0000-000C-404B-8,Wissenschaft,"Polytechnisches Journal. Band 19, Jahrgang 1826",DTA (Dingler),1826-01-01T00:00:00Z,text,deu,"Dr. Johann Gottfried Dingler: Polytechnisches Journal. Bd. 19. Stuttgart, 1826.",CC BY SA,Johann Gottfried Dingler,text xml,text,xml,,,,,dingler:1174,dingler
,http://hdl.handle.net/21.11120/0000-000C-404A-9,,,,,,,,,,,,,,,,,,
,http://digital.slub-dresden.de/id32422568Z,,,,,,,,,,,,,,,,,,
2022-12-12T11:38:53Z,http://hdl.handle.net/21.11120/0000-000C-404D-6,Wissenschaft,"Polytechnisches Journal. Band 20, Jahrgang 1826",DTA (Dingler),1826-01-01T00:00:00Z,text,deu,"Dr. Johann Gottfried Dingler: Polytechnisches Journal. Bd. 20. Stuttgart, 1826.",CC BY SA,Johann Gottfried Dingler,text xml,text,xml,,,,,dingler:1175,dingler
,http://hdl.handle.net/21.11120/0000-000C-404C-7,,,,,,,,,,,,,,,,,,
,http://digital.slub-dresden.de/id32422569Z,,,,,,,,,,,,,,,,,,
2022-12-12T11:38:53Z,http://hdl.handle.net/21.11120/0000-000C-404F-4,Wissenschaft,"Polytechnisches Journal. Band 21, Jahrgang 1826",DTA (Dingler),1826-01-01T00:00:00Z,text,deu,"Dr. Johann Gottfried Dingler: Polytechnisches Journal. Bd. 21. Stuttgart, 1826.",CC BY SA,Johann Gottfried Dingler,text xml,text,xml,,,,,dingler:1176,dingler
,http://hdl.handle.net/21.11120/0000-000C-404E-5,,,,,,,,,,,,,,,,,,
,http://digital.slub-dresden.de/id30146146Z,,,,,,,,,,,,,,,,,,
2022-12-12T11:38:53Z,http://hdl.handle.net/21.11120/0000-000C-4051-0,Wissenschaft,"Polytechnisches Journal. Band 22, Jahrgang 1826",DTA (Dingler),1826-01-01T00:00:00Z,text,deu,"Dr. Johann Gottfried Dingler: Polytechnisches Journal. Bd. 22. Stuttgart, 1826.",CC BY SA,Johann Gottfried Dingler,text xml,text,xml,,,,,dingler:1177,dingler
,http://hdl.handle.net/21.11120/0000-000C-4050-1,,,,,,,,,,,,,,,,,,
,http://digital.slub-dresden.de/id32422566Z,,,,,,,,,,,,,,,,,,
2022-12-12T11:38:53Z,http://hdl.handle.net/21.11120/0000-000C-4053-E,Wissenschaft,"Polytechnisches Journal. Band 23, Jahrgang 1827",DTA (Dingler),1827-01-01T00:00:00Z,text,deu,"Dr. Johann Gottfried Dingler: Polytechnisches Journal. Bd. 23. Stuttgart, 1827.",CC BY SA,Johann Gottfried Dingler,text xml,text,xml,,,,,dingler:1178,dingler
,http://hdl.handle.net/21.11120/0000-000C-4052-F,,,,,,,,,,,,,,,,,,
,http://digital.slub-dresden.de/id31903738Z,,,,,,,,,,,,,,,,,,
2022-12-12T11:38:53Z,http://hdl.handle.net/21.11120/0000-000C-4055-C,Wissenschaft,"Polytechnisches Journal. Band 24, Jahrgang 1827",DTA (Dingler),1827-01-01T00:00:00Z,text,deu,"Dr. Johann Gottfried Dingler: Polytechnisches Journal. Bd. 24. Stuttgart, 1827.",CC BY SA,Johann Gottfried Dingler,text xml,text,xml,,,,,dingler:1179,dingler
,http://hdl.handle.net/21.11120/0000-000C-4054-D,,,,,,,,,,,,,,,,,,
,http://digital.slub-dresden.de/id32422567Z,,,,,,,,,,,,,,,,,,
2022-12-12T11:38:53Z,http://hdl.handle.net/21.11120/0000-000C-4057-A,Wissenschaft,"Polytechnisches Journal. Band 25, Jahrgang 1827",DTA (Dingler),1827-01-01T00:00:00Z,text,deu,"Dr. Johann Gottfried Dingler: Polytechnisches Journal. Bd. 25. Stuttgart, 1827.",CC BY SA,Johann Gottfried Dingler,text xml,text,xml,,,,,dingler:1180,dingler
,http://hdl.handle.net/21.11120/0000-000C-4056-B,,,,,,,,,,,,,,,,,,
,http://digital.slub-dresden.de/id30146147Z,,,,,,,,,,,,,,,,,,
2022-12-12T11:38:53Z,http://hdl.handle.net/21.11120/0000-000C-4059-8,Wissenschaft,"Polytechnisches Journal. Band 26, Jahrgang 1827",DTA (Dingler),1827-01-01T00:00:00Z,text,deu,"Dr. Johann Gottfried Dingler: Polytechnisches Journal. Bd. 26. Stuttgart, 1827.",CC BY SA,Johann Gottfried Dingler,text xml,text,xml,,,,,dingler:1181,dingler
,http://hdl.handle.net/21.11120/0000-000C-4058-9,,,,,,,,,,,,,,,,,,
,http://digital.slub-dresden.de/id32422565Z,,,,,,,,,,,,,,,,,,
2022-12-12T11:38:53Z,http://hdl.handle.net/21.11120/0000-000C-405B-6,Wissenschaft,"Polytechnisches Journal. Band 27, Jahrgang 1828",DTA (Dingler),1828-01-01T00:00:00Z,text,deu,"Dr. Johann Gottfried Dingler: Polytechnisches Journal. Bd. 27. Stuttgart, 1828.",CC BY SA,Johann Gottfried Dingler,text xml,text,xml,,,,,dingler:1182,dingler
,http://hdl.handle.net/21.11120/0000-000C-405A-7,,,,,,,,,,,,,,,,,,
,http://digital.slub-dresden.de/id30146148Z,,,,,,,,,,,,,,,,,,
2022-12-12T11:38:53Z,http://hdl.handle.net/21.11120/0000-000C-405D-4,Wissenschaft,"Polytechnisches Journal. Band 28, Jahrgang 1828",DTA (Dingler),1828-01-01T00:00:00Z,text,deu,"Dr. Johann Gottfried Dingler: Polytechnisches Journal. Bd. 28. Stuttgart, 1828.",CC BY SA,Johann Gottfried Dingler,text xml,text,xml,,,,,dingler:1183,dingler
,http://hdl.handle.net/21.11120/0000-000C-405C-5,,,,,,,,,,,,,,,,,,
,http://digital.slub-dresden.de/id32422564Z,,,,,,,,,,,,,,,,,,
2022-12-12T11:38:53Z,http://hdl.handle.net/21.11120/0000-000C-405F-2,Wissenschaft,"Polytechnisches Journal. Band 29, Jahrgang 1828",DTA (Dingler),1828-01-01T00:00:00Z,text,deu,"Dr. Johann Gottfried Dingler: Polytechnisches Journal. Bd. 29. Stuttgart, 1828.",CC BY SA,Johann Gottfried Dingler,text xml,text,xml,,,,,dingler:1184,dingler
,http://hdl.handle.net/21.11120/0000-000C-405E-3,,,,,,,,,,,,,,,,,,
,http://digital.slub-dresden.de/id32422563Z,,,,,,,,,,,,,,,,,,
2022-12-12T11:38:53Z,http://hdl.handle.net/21.11120/0000-000C-4061-E,Wissenschaft,"Polytechnisches Journal. Band 30, Jahrgang 1828",DTA (Dingler),1828-01-01T00:00:00Z,text,deu,"Dr. Johann Gottfried Dingler: Polytechnisches Journal. Bd. 30. Stuttgart, 1828.",CC BY SA,Johann Gottfried Dingler,text xml,text,xml,,,,,dingler:1185,dingler
,http://hdl.handle.net/21.11120/0000-000C-4060-F,,,,,,,,,,,,,,,,,,
,http://digital.slub-dresden.de/id30146149Z,,,,,,,,,,,,,,,,,,
2022-12-12T11:38:53Z,http://hdl.handle.net/21.11120/0000-000C-4063-C,Wissenschaft,"Polytechnisches Journal. Band 31, Jahrgang 1829",DTA (Dingler),1829-01-01T00:00:00Z,text,deu,"Dr. Johann Gottfried Dingler: Polytechnisches Journal. Bd. 31. Stuttgart, 1829.",CC BY SA,Johann Gottfried Dingler,text xml,text,xml,,,,,dingler:1186,dingler
,http://hdl.handle.net/21.11120/0000-000C-4062-D,,,,,,,,,,,,,,,,,,
,http://digital.slub-dresden.de/id32422562Z,,,,,,,,,,,,,,,,,,
2022-12-12T11:38:53Z,http://hdl.handle.net/21.11120/0000-000C-4065-A,Wissenschaft,"Polytechnisches Journal. Band 32, Jahrgang 1829",DTA (Dingler),1829-01-01T00:00:00Z,text,deu,"Dr. Johann Gottfried Dingler: Polytechnisches Journal. Bd. 32. Stuttgart, 1829.",CC BY SA,Johann Gottfried Dingler,text xml,text,xml,,,,,dingler:1187,dingler
,http://hdl.handle.net/21.11120/0000-000C-4064-B,,,,,,,,,,,,,,,,,,
,http://digital.slub-dresden.de/id32422561Z,,,,,,,,,,,,,,,,,,
2022-12-12T11:38:53Z,http://hdl.handle.net/21.11120/0000-000C-4067-8,Wissenschaft,"Polytechnisches Journal. Band 33, Jahrgang 1829",DTA (Dingler),1829-01-01T00:00:00Z,text,deu,"Dr. Johann Gottfried Dingler: Polytechnisches Journal. Bd. 33. Stuttgart, 1829.",CC BY SA,Johann Gottfried Dingler,text xml,text,xml,,,,,dingler:1188,dingler
,http://hdl.handle.net/21.11120/0000-000C-4066-9,,,,,,,,,,,,,,,,,,
,http://digital.slub-dresden.de/id30146150Z,,,,,,,,,,,,,,,,,,
2022-12-12T11:38:53Z,http://hdl.handle.net/21.11120/0000-000C-4069-6,Wissenschaft,"Polytechnisches Journal. Band 34, Jahrgang 1829",DTA (Dingler),1829-01-01T00:00:00Z,text,deu,"Dr. Johann Gottfried Dingler: Polytechnisches Journal. Bd. 34. Stuttgart, 1829.",CC BY SA,Johann Gottfried Dingler,text xml,text,xml,,,,,dingler:1189,dingler
,http://hdl.handle.net/21.11120/0000-000C-4068-7,,,,,,,,,,,,,,,,,,
,http://digital.slub-dresden.de/id30130093Z,,,,,,,,,,,,,,,,,,
2022-12-12T11:38:53Z,http://hdl.handle.net/21.11120/0000-000C-406B-4,Wissenschaft,"Polytechnisches Journal. Band 35, Jahrgang 1830",DTA (Dingler),1830-01-01T00:00:00Z,text,deu,"Dr. Johann Gottfried Dingler: Polytechnisches Journal. Bd. 35. Stuttgart, 1830.",CC BY SA,Johann Gottfried Dingler,text xml,text,xml,,,,,dingler:1190,dingler
,http://hdl.handle.net/21.11120/0000-000C-406A-5,,,,,,,,,,,,,,,,,,
,http://digital.slub-dresden.de/id30130094Z,,,,,,,,,,,,,,,,,,
2022-12-12T11:38:53Z,http://hdl.handle.net/21.11120/0000-000C-406D-2,Wissenschaft,"Polytechnisches Journal. Band 36, Jahrgang 1830",DTA (Dingler),1830-01-01T00:00:00Z,text,deu,"Dr. Johann Gottfried Dingler: Polytechnisches Journal. Bd. 36. Stuttgart, 1830.",CC BY SA,Johann Gottfried Dingler,text xml,text,xml,,,,,dingler:1191,dingler
,http://hdl.handle.net/21.11120/0000-000C-406C-3,,,,,,,,,,,,,,,,,,
,http://digital.slub-dresden.de/id30130095Z,,,,,,,,,,,,,,,,,,
2022-12-12T11:38:53Z,http://hdl.handle.net/21.11120/0000-000C-406F-0,Wissenschaft,"Polytechnisches Journal. Band 37, Jahrgang 1830",DTA (Dingler),1830-01-01T00:00:00Z,text,deu,"Dr. Johann Gottfried Dingler: Polytechnisches Journal. Bd. 37. Stuttgart, 1830.",CC BY SA,Johann Gottfried Dingler,text xml,text,xml,,,,,dingler:1192,dingler
